userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
0: (15,10.362085342407227)* (48,9.965320587158203)* (169,9.650407791137695)* (265,9.546226501464844) (53,9.46281623840332)* (136,9.405160903930664)* (324,9.30569076538086) (823,9.236236572265625) (215,9.141225814819336) (107,9.060171127319336)* (560,8.96517562866211) (276,8.934389114379883) (11,8.933578491210938)* (170,8.907422065734863)* (674,8.84797191619873) (1187,8.79801082611084) (279,8.77631950378418) (632,8.71917724609375) (364,8.67740249633789) (300,8.675310134887695)
17: (116,13.116561889648438)* (161,12.488637924194336)* (688,12.207636833190918) (404,12.00113296508789)* (143,11.965790748596191)* (68,11.588043212890625)* (48,11.581974983215332) (818,11.54872989654541)* (1368,11.532805442810059)* (899,11.489341735839844)* (169,11.4386625289917) (854,11.39754867553711) (1392,11.393280029296875)* (774,11.222148895263672) (427,11.213898658752441) (95,11.164143562316895) (104,11.145715713500977)* (1278,11.013915061950684)* (1260,10.797805786132812) (1040,10.782198905944824)
18: (106,12.162623405456543)* (159,12.09957504272461)* (136,11.671524047851562) (48,11.498769760131836) (169,11.15229606628418) (818,11.12730598449707)* (1063,11.126358032226562) (164,10.92440414428711) (520,10.912677764892578) (632,10.817258834838867)* (173,10.812300682067871)* (185,10.807418823242188) (404,10.759174346923828) (2066,10.556387901306152) (207,10.55020809173584)* (1336,10.530529975891113) (135,10.520021438598633) (707,10.467681884765625) (625,10.427413940429688) (1281,10.369853019714355)*
19: (274,12.612150192260742) (254,12.212453842163086) (2322,12.105795860290527)* (14,11.935676574707031)* (1545,11.724540710449219)* (4471,11.649700164794922) (4695,11.530847549438477) (680,11.501543045043945) (15,11.432371139526367) (131,11.431965827941895)* (159,11.365373611450195)* (2423,11.363067626953125)* (1144,11.299317359924316) (2147,11.291975021362305) (185,11.266717910766602) (6734,11.111618041992188) (932,11.043767929077148) (3448,11.040283203125) (1018,10.998584747314453) (6601,10.914953231811523)
20: (4,7.11224889755249) (159,6.704499244689941)* (48,6.615764141082764) (167,6.5869855880737305) (147,6.5824079513549805)* (136,6.551096439361572) (986,6.511478424072266)* (1279,6.453076362609863)* (8,6.361753940582275)* (222,6.335567474365234) (298,6.255550384521484) (210,6.212297439575195) (366,6.180079460144043) (215,6.15787410736084) (810,6.123674392700195) (106,6.118248462677002) (134,6.095266342163086) (896,6.03395414352417) (701,6.013084888458252) (1063,5.997896194458008)
21: (15,6.319679260253906) (88,5.984393119812012) (164,5.766605854034424) (72,5.731562614440918) (520,5.686758041381836) (18,5.656358242034912) (81,5.650653839111328) (167,5.61256217956543) (707,5.573543548583984) (661,5.571100234985352) (17,5.556064605712891) (48,5.515287399291992) (87,5.494926452636719) (130,5.49184513092041) (159,5.477353096008301) (592,5.465865135192871)* (1061,5.463132381439209) (2026,5.447417259216309) (560,5.415491104125977) (11,5.383342742919922)
22: (15,4.924530029296875) (167,4.71758508682251) (592,4.566442489624023) (130,4.496007919311523) (159,4.473310947418213) (560,4.399672985076904) (707,4.389989852905273) (81,4.238751411437988) (2066,4.2302775382995605) (106,4.20758056640625) (1063,4.206413269042969) (324,4.177998065948486) (136,4.132875919342041) (185,4.1097893714904785) (95,4.103787422180176) (166,4.076800346374512) (2609,4.075770378112793) (67,4.061679840087891) (721,4.056356430053711) (1062,4.006781578063965)
24: (263,13.18830680847168) (122,12.336189270019531) (87,12.327977180480957)* (1224,11.913143157958984) (89,11.585519790649414) (1022,11.395364761352539) (20672,11.35064697265625) (228,11.312213897705078) (174,11.245506286621094) (15,10.852876663208008)* (670,10.82165241241455) (1273,10.771424293518066) (862,10.745627403259277)* (1305,10.710281372070312)* (1192,10.699577331542969) (1004,10.696921348571777) (2069,10.65103530883789) (287,10.550765991210938)* (70,10.52784252166748) (1172,10.505870819091797)*
25: (15,5.800766944885254) (215,5.639616012573242) (107,5.595362663269043) (48,5.5811052322387695) (674,5.464268684387207) (1281,5.462346076965332) (324,5.407565116882324) (298,5.375075340270996) (4,5.328652381896973) (364,5.320817947387695) (67,5.316317558288574) (0,5.243731498718262) (131,5.151134967803955) (222,5.122298717498779) (173,5.083739757537842) (101,5.083561897277832) (162,5.070341110229492) (35,5.068720817565918) (168,5.04737663269043) (1202,5.019660949707031)
26: (806,7.212375640869141)* (185,7.21170711517334) (2779,7.072739124298096) (592,7.0101447105407715) (625,6.68782901763916)* (2997,6.667890548706055) (3280,6.66145133972168) (2096,6.6211652755737305) (932,6.614150047302246) (802,6.431423664093018)* (575,6.410531044006348) (1062,6.345559597015381) (560,6.30235481262207) (3977,6.2887043952941895) (190,6.27764368057251) (2143,6.176168441772461) (2609,6.129247665405273) (20688,6.082179069519043) (2790,6.0720624923706055) (200,6.013065814971924)
27: (802,12.48378849029541)* (907,12.280383110046387)* (1273,11.904159545898438)* (2828,11.848991394042969) (1192,11.82023811340332)* (1294,11.45455551147461)* (3201,11.267820358276367) (827,11.232841491699219) (834,11.091392517089844) (89,11.036104202270508)* (862,10.748512268066406)* (523,10.743722915649414) (2188,10.706842422485352) (905,10.67230224609375) (823,10.572678565979004)* (519,10.53089714050293) (764,10.529051780700684)* (1022,10.523216247558594) (3024,10.507362365722656) (4432,10.498199462890625)
28: (167,8.486143112182617) (592,8.333230972290039) (48,8.269329071044922) (185,8.195889472961426) (159,8.131284713745117) (81,7.931546211242676) (560,7.885669708251953) (106,7.839203357696533) (625,7.761401176452637) (707,7.739474296569824) (164,7.679709434509277) (364,7.636419296264648) (130,7.579998016357422) (215,7.528700828552246) (207,7.517067909240723) (166,7.50229549407959) (1063,7.417362213134766) (520,7.368293285369873) (71,7.324056625366211) (67,7.312255382537842)
29: (17,7.0406622886657715) (366,6.98924446105957) (159,6.826679706573486) (215,6.496611595153809) (324,6.475811004638672) (11,6.401190280914307) (1281,6.384355545043945) (18,6.361228942871094) (1374,6.258803367614746) (168,6.22748327255249) (210,6.200113296508789) (674,6.193629741668701) (15,6.15321159362793) (66,6.1263227462768555) (367,6.122178077697754) (722,6.116092205047607) (592,6.091898441314697) (1368,6.045462608337402) (3033,6.011114120483398)* (50,6.0047712326049805)
30: (2828,11.397932052612305) (2066,11.044305801391602) (95,10.963298797607422) (855,10.618489265441895) (15,10.374691009521484) (1273,10.270052909851074) (898,10.211553573608398) (707,10.099266052246094) (167,10.046791076660156) (116,10.03147029876709)* (983,9.919112205505371) (81,9.864405632019043)* (94,9.830530166625977) (889,9.797870635986328) (134,9.743549346923828) (990,9.740388870239258) (68,9.684375762939453) (159,9.533415794372559) (104,9.476306915283203) (697,9.415395736694336)
31: (15,2.6921167373657227) (130,2.6656627655029297) (136,2.655740737915039) (167,2.6253936290740967) (4,2.6204769611358643) (48,2.6015071868896484) (159,2.594212532043457) (185,2.5501348972320557) (560,2.543774366378784) (707,2.4911386966705322) (592,2.4788060188293457) (493,2.4495506286621094) (106,2.4319705963134766) (131,2.4243757724761963) (164,2.4197614192962646) (67,2.4140751361846924)* (147,2.375692367553711) (2066,2.361002206802368) (512,2.353518486022949) (312,2.3468685150146484)
32: (592,11.279705047607422) (185,9.785221099853516) (625,9.61929988861084) (806,9.27277660369873) (2609,9.242938995361328) (642,9.212471008300781) (2143,9.129354476928711) (1144,9.01447868347168) (15,8.989696502685547) (2137,8.903136253356934) (1303,8.805876731872559) (560,8.69124698638916) (166,8.584033966064453) (2131,8.541873931884766) (640,8.430880546569824) (1063,8.406450271606445) (1088,8.342308044433594) (2120,8.21332836151123) (1093,8.152082443237305) (1790,8.044961929321289)
33: (167,4.00213623046875) (15,3.8905553817749023) (364,3.8532607555389404) (159,3.747328996658325) (592,3.739180564880371) (215,3.716616153717041) (0,3.6879496574401855) (106,3.6857516765594482) (48,3.66064453125) (810,3.621250629425049) (11,3.5979232788085938) (704,3.5817313194274902) (560,3.5681636333465576) (520,3.5660133361816406) (81,3.561285972595215) (1063,3.5378222465515137) (185,3.5345773696899414) (2066,3.5304579734802246) (421,3.4951975345611572) (1061,3.4939770698547363)
34: (15,7.491467475891113) (592,7.490133762359619)* (159,7.211851596832275) (130,7.139779090881348)* (48,6.841971397399902) (625,6.741251468658447) (512,6.705386638641357) (707,6.703544616699219) (1063,6.587027549743652) (67,6.532602310180664) (215,6.531322479248047) (4,6.5022053718566895) (166,6.471536159515381) (169,6.411036491394043) (2066,6.3952507972717285) (164,6.3633317947387695) (1144,6.2985334396362305) (1273,6.208052635192871) (17,6.189038276672363)* (364,6.185386657714844)
35: (625,11.076972961425781)* (185,10.870116233825684)* (167,10.705806732177734) (1626,10.609350204467773)* (116,10.493370056152344)* (134,10.40784740447998) (1278,10.256677627563477)* (539,10.204800605773926) (555,10.00482177734375)* (519,9.9256591796875) (1305,9.725587844848633)* (169,9.672996520996094) (1100,9.632281303405762) (1259,9.520292282104492)* (2066,9.49051284790039)* (541,9.419837951660156)* (1224,9.385607719421387) (143,9.322837829589844) (68,9.27248477935791) (572,9.217885971069336)*
36: (625,4.744173526763916) (2096,4.6304931640625) (802,4.625397205352783) (592,4.58526611328125) (2790,4.44834041595459) (941,4.40549373626709) (2997,4.367110252380371) (932,4.356897830963135) (190,4.347882270812988) (2779,4.32130765914917) (2137,4.304673194885254) (649,4.262235641479492) (806,4.233588218688965) (200,4.199307441711426) (575,4.1970648765563965)* (660,4.151148319244385) (1091,4.1417670249938965) (1780,4.082807540893555) (147,4.0051493644714355) (1062,3.9826173782348633)
38: (15,10.84499740600586) (354,10.821601867675781) (82,10.749177932739258)* (113,10.572691917419434) (189,10.562376022338867)* (312,10.476417541503906) (274,10.427268981933594) (263,10.327281951904297) (374,10.320302963256836) (158,10.148040771484375) (439,10.097861289978027) (142,9.858320236206055) (2284,9.66345500946045) (174,9.657628059387207) (72,9.6497802734375) (952,9.64931583404541) (1812,9.648503303527832) (238,9.637022018432617) (211,9.563983917236328) (1192,9.48039436340332)
39: (167,4.8756842613220215) (15,4.669142723083496) (0,4.649304389953613) (364,4.624148368835449) (159,4.564450263977051) (81,4.516011714935303) (810,4.508044719696045) (215,4.444469451904297) (130,4.430241584777832) (11,4.404781341552734) (2066,4.399044990539551) (721,4.380037307739258) (1336,4.372978210449219) (520,4.347097396850586) (1061,4.343877792358398) (164,4.301691055297852) (106,4.278289794921875) (421,4.26727294921875) (1281,4.265714645385742) (889,4.243314266204834)
40: (592,6.323489189147949) (2609,6.243941307067871) (185,5.9795684814453125) (166,5.84653377532959) (642,5.842698097229004) (625,5.802488803863525) (560,5.786958694458008) (1790,5.782787322998047) (1144,5.7046217918396) (2814,5.704463005065918) (164,5.6857452392578125) (3655,5.648509979248047) (1063,5.64799690246582) (15,5.645859241485596) (2114,5.581487655639648) (1303,5.550905227661133) (2120,5.532886505126953) (941,5.514355659484863) (707,5.501312732696533) (1100,5.500348091125488)
41: (15,2.1681694984436035) (185,2.1468238830566406) (592,2.049290657043457) (625,2.0236318111419678) (560,1.9766933917999268) (130,1.951286792755127) (67,1.8851487636566162) (649,1.87506902217865) (2609,1.8679232597351074) (136,1.839367151260376) (366,1.8283486366271973) (1063,1.8082315921783447) (806,1.805030107498169) (1683,1.803187608718872) (650,1.7882323265075684) (2814,1.776620626449585) (2131,1.7715792655944824) (619,1.756793737411499) (536,1.75547194480896) (4860,1.7450300455093384)
42: (560,11.625091552734375) (166,11.444729804992676) (185,11.315998077392578) (1988,11.158953666687012) (2732,10.996658325195312) (215,10.621540069580078) (806,10.614315032958984) (1050,10.590566635131836) (572,10.42551326751709) (3141,10.380766868591309)* (3804,10.330304145812988) (715,10.176424980163574) (512,10.172871589660645) (1626,10.075815200805664) (329,10.058753967285156) (1232,10.05520248413086) (2814,10.05241870880127) (896,10.048393249511719) (673,9.979116439819336) (11,9.959131240844727)
43: (312,10.911954879760742)* (247,10.42613410949707) (263,10.263858795166016) (72,10.245296478271484)* (54,10.13677978515625) (1812,10.068142890930176) (1321,9.982964515686035)* (158,9.81985855102539) (2561,9.614523887634277) (142,9.569742202758789)* (439,9.544180870056152) (4468,9.51768684387207) (4952,9.509838104248047) (2147,9.508572578430176) (131,9.488547325134277) (1277,9.354022026062012)* (1177,9.306621551513672)* (340,9.305965423583984)* (1831,9.161277770996094) (113,9.129430770874023)
47: (592,12.392614364624023) (806,11.519951820373535) (130,11.028984069824219) (1144,10.996994972229004) (166,10.90616226196289)* (707,10.779679298400879) (575,10.737144470214844)* (520,10.62043571472168)* (628,10.477933883666992) (164,10.35694694519043) (1058,10.297098159790039) (913,10.261636734008789)* (190,10.162725448608398) (932,10.101897239685059) (555,10.004533767700195) (649,9.989299774169922) (1267,9.942740440368652) (1790,9.765117645263672) (404,9.755002975463867) (2137,9.750791549682617)
48: (159,6.126517295837402) (16,5.906620979309082) (279,5.741411209106445) (167,5.722037315368652) (174,5.700616836547852) (168,5.658562660217285) (823,5.608441352844238) (265,5.574894905090332) (215,5.567251682281494) (113,5.5601806640625) (135,5.5186004638671875)* (142,5.468921661376953) (173,5.438956260681152) (69,5.435288429260254) (169,5.425861835479736) (131,5.41615104675293) (262,5.4089765548706055) (54,5.371188163757324) (17,5.365502834320068) (661,5.364102363586426)
49: (167,6.852628707885742)* (106,6.750212669372559) (136,6.611182689666748) (324,6.609920501708984) (169,6.269886493682861) (139,6.25919246673584) (130,6.253464698791504) (520,6.234539031982422) (810,6.2186737060546875) (560,6.2023773193359375) (81,6.168562412261963) (404,6.118684768676758) (35,6.118531227111816) (73,6.109742164611816) (440,6.096104621887207) (1377,6.074339866638184) (116,6.071037292480469) (818,6.071001052856445) (398,6.058277130126953) (510,6.053770065307617)
51: (592,10.157112121582031) (130,9.931856155395508)* (560,9.808502197265625) (159,9.797645568847656)* (48,9.355854988098145) (1063,9.28128719329834) (707,9.177082061767578)* (147,9.083746910095215) (1144,9.064594268798828) (169,9.029346466064453)* (67,8.943286895751953) (364,8.895360946655273) (4,8.854066848754883) (215,8.601802825927734) (539,8.5921630859375) (153,8.511222839355469) (806,8.510594367980957) (116,8.492063522338867) (810,8.455955505371094) (11,8.444764137268066)
52: (2137,10.33952522277832) (147,10.137781143188477) (896,9.938865661621094) (1790,9.724526405334473) (1091,8.969676971435547) (2779,8.760868072509766) (3310,8.732467651367188) (3347,8.621164321899414)* (4,8.60831356048584) (20688,8.607210159301758) (2956,8.508005142211914) (1144,8.431964874267578)* (312,8.230066299438477) (159,8.212214469909668) (3977,8.179891586303711) (941,8.162346839904785) (628,8.153039932250977)* (172,8.135002136230469) (1063,8.067448616027832) (130,8.0375394821167)
53: (136,4.451472759246826) (185,4.381038665771484) (560,4.38101863861084) (48,4.356297016143799) (164,4.337357997894287) (130,4.303906440734863) (72,4.292491912841797) (15,4.283250331878662) (707,4.11824893951416) (592,4.105052471160889) (159,4.077535629272461) (1063,4.075840473175049) (147,4.012422561645508) (520,4.000947952270508) (81,3.999417781829834)* (2609,3.984292984008789) (2026,3.970237970352173) (1144,3.9699769020080566) (11,3.9473397731781006) (169,3.88885760307312)
54: (592,10.725268363952637) (185,10.435571670532227) (806,9.75725269317627) (1180,9.720236778259277) (952,9.567544937133789) (560,9.424423217773438) (2328,9.339884757995605) (625,9.313963890075684) (95,9.2774658203125) (147,9.224720001220703) (1894,9.167388916015625) (312,9.151411056518555) (2609,9.12948226928711) (2997,9.115867614746094) (1116,9.00977897644043) (1891,8.78036117553711) (2956,8.76022720336914) (3721,8.759624481201172) (3977,8.732931137084961)* (2069,8.700105667114258)
57: (185,1.5269566774368286) (592,1.517565131187439) (560,1.4774746894836426) (130,1.4677438735961914) (136,1.4619879722595215) (512,1.4590883255004883) (147,1.4457452297210693) (1273,1.4424537420272827) (707,1.4307199716567993) (806,1.4059922695159912) (2069,1.3841713666915894) (159,1.3759949207305908) (625,1.3523483276367188) (15,1.3453595638275146) (519,1.3453497886657715) (164,1.342007040977478) (166,1.3376340866088867) (167,1.3339407444000244) (2066,1.3303229808807373) (2779,1.3252685070037842)
58: (1790,14.717586517333984)* (3204,14.192164421081543) (2066,13.278424263000488) (911,13.231046676635742) (855,11.98508071899414) (1267,11.751758575439453)* (147,11.21345329284668) (1058,11.179046630859375) (520,11.003530502319336)* (1759,10.951400756835938) (889,10.786733627319336)* (900,10.569500923156738) (904,10.544208526611328) (166,10.518152236938477)* (1018,10.288755416870117) (498,10.268160820007324) (2484,10.218274116516113) (3344,10.167298316955566) (6363,10.016341209411621) (8641,10.004222869873047)
59: (130,9.431906700134277) (364,9.315191268920898)* (136,9.218605041503906) (592,9.21497631072998) (0,9.19719409942627)* (4,9.141043663024902)* (185,9.07918930053711) (67,8.874465942382812) (215,8.869675636291504) (169,8.775278091430664) (1063,8.757097244262695) (707,8.718565940856934) (2066,8.61801815032959) (207,8.519972801208496) (147,8.50267505645752) (222,8.480031967163086) (298,8.469134330749512) (324,8.46487045288086)* (170,8.451260566711426)* (986,8.347075462341309)*
60: (1091,9.932794570922852) (2997,9.799261093139648) (1072,9.469732284545898) (172,9.407163619995117) (164,9.393863677978516)* (628,9.358354568481445) (190,9.169181823730469) (4,9.153975486755371) (520,9.124829292297363)* (1062,9.119617462158203)* (169,9.066343307495117) (3266,9.026073455810547) (3346,9.02408218383789) (2779,8.927641868591309) (1790,8.910122871398926) (166,8.754903793334961) (44,8.69120979309082) (1273,8.663309097290039) (626,8.646117210388184) (572,8.610115051269531)
61: (207,10.726337432861328) (1449,10.55185317993164) (222,10.26131820678711)* (1392,10.224902153015137) (205,10.148618698120117)* (2119,10.137491226196289) (818,9.940640449523926)* (668,9.868654251098633) (986,9.758567810058594) (68,9.696995735168457)* (673,9.696820259094238)* (210,9.647661209106445)* (8,9.619124412536621) (373,9.593574523925781) (2179,9.587419509887695) (1182,9.549898147583008) (1195,9.40240478515625)* (2101,9.357344627380371) (161,9.319541931152344)* (6,9.295391082763672)
63: (842,7.119585990905762) (185,6.918670177459717) (1116,6.893067359924316) (87,6.68101692199707) (592,6.646974563598633) (72,6.64246129989624) (2220,6.609740734100342) (48,6.507465362548828) (240,6.487366199493408) (2328,6.438263893127441) (189,6.282990455627441) (1062,6.214454650878906) (670,6.210526466369629) (136,6.182313919067383) (523,6.1795501708984375) (862,6.1351213455200195) (575,6.130032062530518) (174,6.090814590454102) (1273,6.087835788726807) (88,6.034432411193848)
64: (1273,8.11435604095459)* (906,8.052905082702637) (2199,7.892016410827637) (512,7.6654744148254395)* (1773,7.55733060836792) (802,7.515334606170654) (589,7.379109859466553) (2132,7.374427795410156) (263,7.303672790527344) (4417,7.238480567932129) (163,7.235546588897705) (5876,7.139510631561279) (1062,7.130985260009766)* (932,7.061358451843262) (575,7.0126237869262695) (182,6.993142604827881) (1553,6.936370849609375) (897,6.891024589538574) (2762,6.880666255950928) (3381,6.817948341369629)
65: (5622,11.042865753173828) (1305,11.00738525390625) (2328,10.930289268493652) (1378,10.923030853271484) (2899,10.903663635253906) (3744,10.90287971496582) (1789,10.720333099365234) (594,10.676884651184082) (1116,10.600116729736328) (3201,10.581180572509766) (2790,10.574981689453125) (9490,10.538463592529297) (700,10.535083770751953) (5023,10.520038604736328) (3767,10.355395317077637) (1140,10.283946990966797) (1004,10.248857498168945) (2909,10.185422897338867) (523,10.085201263427734) (572,10.011955261230469)
66: (2328,11.641210556030273)* (3141,10.931329727172852)* (1180,10.111614227294922) (5704,10.027692794799805) (167,9.985272407531738)* (553,9.868602752685547) (215,9.830249786376953)* (142,9.75223159790039)* (2284,9.720919609069824)* (210,9.665925025939941) (4181,9.563486099243164) (274,9.542083740234375)* (4489,9.538125991821289)* (13,9.498083114624023) (2862,9.362905502319336) (1357,9.234811782836914) (832,9.145919799804688) (998,9.118764877319336) (1192,9.071817398071289) (764,9.034162521362305)*
