userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
0: (48,7.365416526794434)* (265,7.360276222229004) (67,7.266369819641113)* (276,7.029028415679932) (215,6.70261812210083) (173,6.516787528991699)* (279,6.484038352966309) (13,6.454805374145508)* (107,6.419512748718262)* (674,6.399425029754639) (262,6.393319129943848) (324,6.333438396453857) (115,5.958998680114746)* (371,5.950071334838867) (300,5.938168525695801) (632,5.914044380187988) (440,5.664477348327637) (560,5.579702377319336) (82,5.53973388671875)* (8,5.510591506958008)*
33: (0,6.916836738586426) (2,3.984873056411743)* (4,3.650408983230591) (1,3.3323974609375) (15,3.0295472145080566) (364,3.0111684799194336) (11,2.9272775650024414) (167,2.7413220405578613) (9,2.731998920440674) (215,2.659337043762207) (721,2.5882318019866943) (18,2.5747673511505127) (81,2.5617892742156982) (162,2.5523595809936523) (810,2.490518093109131) (139,2.4765520095825195) (632,2.476121425628662) (211,2.469115972518921) (818,2.460814952850342) (324,2.4321281909942627)
34: (15,9.52004623413086) (4,7.585041046142578) (0,7.302450180053711) (592,6.104678630828857)* (9,6.069726467132568) (215,5.906540870666504) (67,5.8599772453308105) (159,5.790341377258301) (48,5.743434906005859) (2,5.320101261138916) (324,5.133559703826904) (721,5.089702606201172) (674,4.887879848480225) (170,4.815001010894775) (113,4.786284446716309) (512,4.783452033996582) (162,4.7710371017456055) (364,4.757524013519287) (18,4.714601516723633) (366,4.601032257080078)
35: (0,9.358596801757812) (130,9.041357040405273)* (167,8.07973575592041) (134,8.031702041625977) (3266,7.607027053833008)* (764,7.468291282653809)* (941,7.42402982711792) (1813,7.37980842590332)* (459,7.299939155578613)* (1100,7.204834461212158) (486,7.126962661743164)* (519,7.085561275482178) (71,7.077123641967773) (1,7.070759296417236) (87,6.950254440307617) (707,6.866432189941406) (1172,6.809632778167725)* (8,6.803684234619141) (1102,6.714910507202148) (48,6.677021026611328)*
36: (2096,3.090306043624878) (802,2.994839906692505) (941,2.810349941253662) (625,2.6322436332702637) (932,2.5372042655944824) (2790,2.5370192527770996) (559,2.5300099849700928) (649,2.451909303665161) (190,2.44577956199646) (2102,2.428103446960449) (561,2.401963949203491)* (1062,2.3878836631774902) (592,2.384223461151123) (523,2.3819632530212402) (172,2.3599538803100586) (1682,2.356407403945923) (200,2.3495378494262695) (1099,2.342020034790039) (20688,2.334054946899414) (618,2.2893223762512207)
38: (0,1.2068601846694946) (15,0.9906505346298218) (2,0.9724283218383789) (1279,0.9567680358886719)* (434,0.8909493088722229)* (345,0.8705022931098938)* (48,0.8440948724746704)* (8,0.8145880699157715) (329,0.7763946056365967)* (2077,0.7534410953521729)* (167,0.7413052320480347)* (342,0.7362884283065796)* (11,0.7147570848464966)* (1814,0.6633096933364868)* (51,0.636886715888977)* (107,0.6292773485183716)* (5,0.6211315989494324) (312,0.6106025576591492) (1832,0.6102158427238464)* (716,0.5965230464935303)*
39: (0,9.723857879638672) (4,3.952828884124756) (11,3.720846176147461) (1,3.6385579109191895) (2,3.480512857437134) (81,3.341430425643921) (721,3.256135940551758) (18,3.15463924407959) (15,3.141275644302368) (364,3.1079697608947754) (413,2.958859920501709) (388,2.918386936187744) (810,2.886432647705078) (421,2.8008885383605957) (226,2.747560501098633) (1826,2.747467517852783) (425,2.73579740524292) (85,2.7050366401672363) (685,2.701261043548584) (215,2.687812566757202)
40: (592,4.301155090332031) (2609,4.094318389892578) (2120,3.8051023483276367) (1790,3.5538899898529053) (642,3.549156665802002) (3655,3.514402151107788) (185,3.5120842456817627) (2114,3.4038894176483154) (3270,3.321784257888794) (640,3.251988410949707) (2116,3.2487387657165527) (166,3.2421655654907227) (560,3.2393221855163574) (15,3.2237253189086914) (566,3.2011752128601074) (2814,3.1398606300354004) (1144,3.0807600021362305) (1303,3.0736498832702637) (1091,3.0648813247680664) (2131,3.048539876937866)
41: (560,1.384659767150879) (185,1.3513059616088867) (136,1.35030198097229) (592,1.3363637924194336) (15,1.1740648746490479) (4,1.137817621231079) (512,1.123603105545044) (493,1.0696808099746704) (1063,1.0382188558578491) (1144,1.030468225479126)* (130,1.0056543350219727) (153,0.9837076663970947) (2069,0.9775015711784363) (707,0.9707658290863037) (519,0.9547961950302124) (1273,0.925314724445343) (539,0.9195244312286377) (520,0.903302788734436) (1278,0.8978279829025269) (1072,0.8968406915664673)
42: (1988,6.556133270263672) (1091,6.380615234375) (2868,5.811235427856445) (5496,5.53901481628418) (4788,5.437504291534424) (5317,5.409316062927246) (3228,5.395364284515381) (8829,5.344411373138428) (3248,5.268058776855469) (2,5.265390872955322) (2144,5.236940860748291) (1032,5.216523170471191) (329,5.184950828552246) (2137,5.130802631378174) (5229,4.964443206787109) (541,4.873164176940918)* (915,4.868865966796875) (2059,4.8638153076171875) (5330,4.860235691070557) (1072,4.837018966674805)
43: (3,11.921329498291016) (54,8.26862907409668) (131,8.22796630859375) (247,7.460408687591553) (18,7.367039680480957)* (10,7.318365097045898) (11,7.287798881530762) (302,7.238638877868652)* (270,7.132565021514893)* (158,6.86773681640625) (1812,6.668723106384277) (215,6.663049697875977) (1831,6.557509422302246) (174,6.5044450759887695) (107,6.4767560958862305) (351,6.3746490478515625) (439,6.266310691833496) (2147,6.236485481262207) (237,6.218042373657227) (211,6.117654800415039)
45: (13,0.9590029120445251) (168,0.7810993194580078) (9,0.774165153503418) (15,0.7223716974258423)* (14,0.7175539135932922) (131,0.712002158164978)* (18,0.6806119680404663) (82,0.6760729551315308) (354,0.6676414608955383) (54,0.6406838893890381) (439,0.6392512917518616) (340,0.6178051233291626) (1691,0.5960187315940857) (689,0.5892767906188965) (237,0.585529625415802) (142,0.5842934846878052) (274,0.575961709022522) (119,0.5693372488021851) (158,0.5631932020187378) (945,0.5572088956832886)
46: (27262,0.6471166610717773) (22168,0.557356059551239) (22167,0.557356059551239) (10794,0.5179930329322815) (4230,0.4756581485271454) (37411,0.4570336937904358) (37409,0.4570336937904358) (37408,0.4570336937904358) (2801,0.4484248757362366) (35999,0.4483105540275574) (37294,0.43510061502456665) (9183,0.4344310760498047) (2439,0.43028897047042847) (33071,0.4231603145599365) (33070,0.4231603145599365) (33069,0.4231603145599365) (2751,0.422635942697525) (4232,0.4223174452781677) (2377,0.4213857054710388) (10680,0.41525113582611084)
47: (0,2.421302556991577) (4,1.8122227191925049) (5,1.3051645755767822)* (1,1.28769850730896) (6,1.095548391342163)* (8,1.0182301998138428) (632,0.8714383840560913)* (167,0.8341960906982422)* (139,0.8171148300170898) (203,0.796821117401123) (15,0.7906253337860107)* (324,0.779981791973114)* (1279,0.764397144317627) (222,0.7543818950653076) (161,0.7524725198745728) (716,0.7406478524208069) (986,0.740035355091095) (344,0.7351351380348206) (440,0.7228084802627563)* (205,0.7078281044960022)
48: (9,5.7373247146606445) (4,5.532514572143555) (54,5.32768440246582) (16,5.021710395812988) (168,4.979159355163574) (215,4.817798137664795) (167,4.812243461608887) (159,4.7668256759643555) (113,4.693049430847168) (67,4.497681617736816)* (107,4.403907775878906) (279,4.342282295227051) (265,4.302130699157715) (173,4.220712661743164) (174,4.203418254852295) (131,4.159560203552246) (262,4.155776023864746) (18,4.12916374206543) (53,4.105371475219727) (661,4.06771993637085)
49: (0,7.093575954437256) (4,6.400586128234863) (2,5.690914630889893) (8,5.182770729064941) (167,5.011554718017578)* (5,4.9103803634643555) (632,4.320197582244873) (35,4.301876544952393) (366,4.2958221435546875) (324,4.293709754943848) (210,4.290462970733643) (674,4.115723609924316) (67,4.1146392822265625) (444,4.093108177185059)* (34,4.0350341796875) (6,4.014575481414795) (101,4.005586624145508) (11,3.9816832542419434) (131,3.9680750370025635) (385,3.9421091079711914)
51: (15,8.299848556518555)* (4,7.566878318786621) (560,7.382328987121582) (106,7.2955732345581055)* (147,6.709568977355957) (419,6.419672966003418)* (592,6.081393241882324) (67,5.980255126953125) (512,5.831870079040527)* (153,5.804966926574707) (1063,5.741446018218994) (1027,5.657757759094238) (116,5.5823798179626465) (539,5.579368591308594) (133,5.536208152770996) (1144,5.322113990783691) (875,5.153245449066162) (493,5.134282112121582) (404,5.103306770324707) (1267,5.000912189483643)
52: (0,1.6590383052825928) (2,1.2463335990905762) (5,0.8305841684341431) (701,0.78004390001297)* (59,0.7705479264259338)* (6,0.7456018328666687) (1183,0.6892931461334229)* (51,0.6490052938461304)* (4,0.6318715810775757) (8,0.6106299757957458) (161,0.5701852440834045) (203,0.5612828731536865) (34,0.5558613538742065) (205,0.5532008409500122) (112,0.5487316250801086)* (344,0.5329941511154175) (1279,0.519463300704956) (716,0.5171487927436829) (176,0.5105890035629272) (23,0.5094593167304993)
53: (0,6.117438793182373) (15,5.337338447570801) (4,4.869675636291504) (11,3.620098114013672) (9,3.5763978958129883) (48,3.3786780834198) (67,3.294400215148926) (215,3.118354320526123) (8,3.058607578277588) (159,3.002542018890381) (17,2.9754574298858643) (18,2.9269816875457764) (54,2.8189609050750732) (135,2.736466884613037) (168,2.6638662815093994) (324,2.622251033782959) (131,2.6206235885620117) (366,2.589344024658203) (16,2.5194945335388184) (123,2.497849941253662)
54: (4,4.973776340484619) (592,4.788527488708496) (15,4.373897552490234) (1894,4.233240604400635) (312,4.042860984802246) (806,3.9373583793640137) (2328,3.8922014236450195) (185,3.8408944606781006) (1091,3.7976348400115967) (3499,3.7621138095855713) (640,3.7464184761047363) (20688,3.732429027557373) (269,3.724944829940796) (1180,3.723844289779663) (2779,3.7188034057617188)* (2677,3.675078868865967) (3977,3.663179397583008)* (625,3.6161375045776367) (11,3.604313373565674) (3967,3.6027660369873047)*
55: (0,0.9867777824401855) (2006,0.6408291459083557) (991,0.6286145448684692) (195,0.603147029876709) (976,0.5836535096168518) (1050,0.5830792784690857) (938,0.5829359292984009) (2005,0.5811947584152222) (1774,0.5785958170890808) (1034,0.5710130333900452) (1048,0.5638337135314941) (975,0.5603702068328857) (1838,0.5586156845092773) (2117,0.5367754101753235) (4850,0.5350371599197388) (974,0.5246437788009644) (6370,0.506969690322876) (3293,0.5038573741912842) (379,0.49955815076828003) (1105,0.4969674348831177)
56: (190,0.979893684387207) (4236,0.8988516330718994) (1314,0.895230770111084) (1682,0.8939067125320435) (575,0.8524250984191895) (802,0.829047441482544) (1062,0.782666027545929) (3381,0.78054279088974) (806,0.7604607343673706) (1099,0.752922534942627) (1126,0.7512637376785278) (3827,0.747624933719635) (589,0.7388128638267517) (3008,0.7385412454605103) (1103,0.7259674668312073) (1689,0.7188915014266968) (2761,0.7176172733306885) (2141,0.7161532640457153) (625,0.7121807932853699) (200,0.7039979100227356)
57: (4,2.3991048336029053) (136,1.5756521224975586) (147,1.544166088104248) (2,1.5043041706085205) (560,1.5034022331237793) (106,1.4426448345184326) (1278,1.380325198173523) (185,1.379346489906311) (15,1.3690316677093506) (81,1.2997546195983887) (1027,1.2903296947479248) (130,1.2145555019378662) (539,1.1985399723052979) (1063,1.180680513381958) (628,1.1563868522644043) (8,1.1544772386550903) (1055,1.1526713371276855) (530,1.136465072631836) (167,1.0967943668365479) (707,1.0695804357528687)
58: (2,2.1794700622558594) (4,1.953460931777954) (0,1.9015121459960938) (1,1.5256757736206055) (15,1.475367546081543)* (6,1.312406063079834) (167,1.2110514640808105) (8,1.1531394720077515) (632,1.0659376382827759) (139,1.06504225730896) (48,1.0272639989852905) (11,1.0047783851623535) (203,1.0021977424621582) (324,0.9912522435188293) (344,0.9829806089401245) (222,0.9454469084739685)* (162,0.94417405128479)* (1279,0.9410184621810913)* (986,0.9326174259185791) (440,0.9216057062149048)
59: (2,0.7362024784088135)* (420,0.5662629008293152)* (421,0.5421733856201172)* (8,0.5328671932220459)* (226,0.5092984437942505)* (4,0.508627712726593)* (1,0.5066308975219727)* (810,0.506588339805603)* (388,0.49872806668281555)* (685,0.4833300709724426)* (1949,0.4520341157913208)* (1826,0.44975197315216064)* (721,0.44545960426330566)* (716,0.43224233388900757)* (4122,0.410566508769989)* (986,0.405195951461792)* (2932,0.39740896224975586)* (1867,0.3963160216808319)* (364,0.3927045464515686)* (1336,0.3916277587413788)*
