userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (1,10.045759201049805)* (318,6.6315999031066895) (364,6.468421936035156) (593,6.187643051147461) (2987,5.692460536956787) (34,5.580101490020752) (2081,5.215635299682617) (1196,5.170337677001953) (1198,4.927821159362793) (1704,4.8776655197143555) (1022,4.738824844360352)* (589,4.708164691925049) (2085,4.643235206604004) (1225,4.5742950439453125) (2761,4.502077579498291) (3751,4.476326942443848) (2687,4.436985015869141) (2078,4.415338039398193) (2096,4.3592963218688965) (1210,4.35758113861084)
12: (858,5.394479751586914)* (260,4.4961981773376465) (1252,4.183908462524414) (912,4.124932765960693) (1196,4.058219909667969) (593,3.792512893676758)* (750,3.6416831016540527) (1136,3.5044565200805664) (1207,3.472282886505127) (1225,3.424553394317627) (1247,3.382812261581421) (924,3.3771812915802) (527,3.295975923538208) (1230,3.2827203273773193) (908,3.223275661468506) (904,3.1492080688476562) (318,3.1144304275512695) (541,3.0681371688842773) (608,3.061500072479248) (1208,3.047445058822632)
13: (2628,6.191528797149658) (1240,5.918697834014893) (1356,5.643423080444336)* (2858,5.399479866027832) (858,5.316314220428467) (2762,5.291932106018066) (457,5.256344318389893) (1214,5.244221210479736) (1259,5.2219390869140625)* (1097,5.1880598068237305)* (1197,5.174291610717773)* (2916,5.119034290313721) (1580,5.027204990386963)* (1200,4.982675552368164) (541,4.933221817016602) (1610,4.9263834953308105) (608,4.865756988525391) (1270,4.6468400955200195) (1617,4.46848726272583) (1584,4.21942663192749)
14: (2858,4.293321132659912) (2396,2.645763397216797)* (2599,2.6436655521392822) (223,2.3715436458587646) (2762,2.3700108528137207)* (1617,2.0367166996002197) (2959,2.0328118801116943) (608,2.0162947177886963) (2395,1.9937682151794434) (2987,1.9493337869644165) (593,1.908616542816162) (3176,1.891805648803711) (296,1.8260384798049927)* (3174,1.819272518157959) (2706,1.8142123222351074) (2355,1.8086708784103394) (2692,1.7962956428527832)* (2908,1.7480254173278809) (318,1.7330820560455322) (1,1.7243465185165405)
15: (318,8.41434097290039)* (589,8.092512130737305) (2706,6.486156940460205)* (1617,6.18304443359375) (2997,6.097483158111572) (1721,6.045699596405029) (296,5.831205368041992) (2959,5.829032897949219) (150,5.792279243469238) (733,5.747600555419922) (1610,5.738656997680664)* (3005,5.7326788902282715)* (2628,5.700930595397949) (2058,5.699170112609863) (2683,5.606917381286621)* (608,5.544614791870117) (1,5.515838146209717) (2763,5.503602981567383) (2268,5.498676300048828)* (3408,5.472071647644043)*
16: (2987,10.560189247131348) (3114,5.693966865539551) (3793,5.538876056671143) (2716,5.323741912841797) (2396,5.289180755615234) (2706,5.2813825607299805) (2694,4.501365661621094) (1127,4.421862602233887) (2762,4.345851898193359) (2770,4.336763858795166) (2688,4.116514205932617) (2605,4.084104537963867) (3005,4.081507205963135) (3408,4.080013275146484) (2881,4.061612129211426) (223,3.972414493560791) (2763,3.770481586456299) (2433,3.7213664054870605) (3157,3.6463422775268555) (2336,3.645859956741333)
17: (3793,10.299247741699219)* (1210,7.664191722869873)* (593,7.545549392700195)* (1748,7.483274459838867)* (1199,7.347405433654785) (924,7.1782917976379395)* (1127,7.134542465209961)* (1527,6.86179780960083)* (608,6.767797470092773) (1097,6.647831439971924) (3702,6.53809118270874) (2968,6.19258975982666) (1676,5.825381278991699) (2628,5.784084796905518) (1376,5.588665008544922)* (1396,5.565374374389648) (2985,5.386586666107178)* (316,5.1061296463012695)* (2393,4.952131271362305) (1921,4.840485572814941)*
18: (2716,2.5456480979919434) (913,2.1922359466552734) (2355,1.9968897104263306)* (2683,1.9861901998519897) (3175,1.6941719055175781)* (3114,1.6907724142074585) (223,1.5907325744628906) (2997,1.5815870761871338) (588,1.5810635089874268)* (2700,1.5187870264053345) (1127,1.484506607055664) (2770,1.4328527450561523) (1291,1.4328210353851318)* (2706,1.3339897394180298) (1,1.3221068382263184)* (2396,1.320425271987915) (1210,1.3032665252685547)* (1198,1.2882380485534668)* (2761,1.2872631549835205) (2394,1.2778794765472412)*
19: (260,8.504443168640137) (110,6.754715919494629)* (457,6.55928373336792) (2997,6.350764751434326) (3578,6.255112171173096) (593,6.242445945739746)* (2628,5.9078826904296875) (1610,5.773332118988037) (2947,5.695392608642578)* (2706,5.669167518615723) (1240,5.530816078186035) (1136,5.455304145812988) (648,5.440160751342773) (2396,5.381285667419434) (1374,5.3666672706604)* (2115,5.330447196960449) (3623,5.249321460723877) (2959,5.14693546295166)* (1214,4.961589813232422) (3175,4.904558181762695)
20: (480,6.606926918029785) (1580,5.255763053894043) (593,5.144471168518066) (1210,4.846485137939453) (3793,4.766693115234375) (2916,4.626134872436523) (3578,4.619952201843262)* (260,4.553445339202881) (1610,4.5083818435668945) (1196,4.503861427307129) (296,4.380903720855713) (608,4.285984992980957) (1240,4.241417407989502)* (50,4.192804336547852) (1213,3.8852031230926514) (2762,3.859112024307251) (1198,3.81404447555542) (1573,3.807818651199341) (2997,3.785419464111328) (1036,3.7296082973480225)
21: (260,4.925318717956543) (1196,4.700755596160889) (2571,3.1256861686706543) (1097,3.0196924209594727) (1240,2.8899619579315186) (1198,2.8352253437042236) (1214,2.7557382583618164) (1200,2.6693825721740723) (480,2.495422601699829) (2628,2.478924512863159) (1291,2.477471351623535) (2140,2.319906711578369) (589,2.300581932067871) (1374,2.284173011779785) (2021,2.2527427673339844) (3702,2.21113920211792) (858,2.201862335205078) (2105,2.1939589977264404) (2529,2.137396812438965) (2161,2.050428867340088)
22: (2716,2.545647621154785)* (913,2.192235231399536) (2355,1.9968892335891724) (2683,1.9861897230148315) (3175,1.69417142868042) (3114,1.6907721757888794) (223,1.590732455253601)* (2997,1.5815867185592651)* (588,1.581063151359558) (2700,1.518786907196045) (1127,1.484506368637085)* (2770,1.4328523874282837) (1291,1.4328205585479736)* (2706,1.3339895009994507) (1,1.3221063613891602) (2396,1.3204249143600464) (1210,1.3032660484313965) (1198,1.2882376909255981)* (2761,1.287263035774231) (2394,1.277879238128662)
23: (589,11.173166275024414)* (2571,8.367132186889648) (1240,7.39673376083374)* (1200,7.196349143981934) (1214,6.951107025146484) (2916,6.901345252990723)* (1617,6.892653465270996) (1210,6.738822937011719) (1374,6.6601481437683105) (3793,6.255279541015625)* (924,5.91745662689209) (3702,5.709083557128906) (1199,5.615599155426025) (3703,5.572427749633789) (3175,5.545737266540527) (296,5.520071506500244)* (1206,5.514811038970947) (1270,5.369393348693848) (2529,5.338866233825684) (457,5.337184906005859)
24: (2918,8.38540267944336)* (1196,7.859158039093018) (1097,6.9344940185546875) (1210,6.726879119873047) (2804,6.539512634277344) (1961,6.504056930541992) (3072,6.333070755004883)* (3421,5.871661186218262) (356,5.6817522048950195) (1136,5.529475688934326) (2174,5.487992286682129) (2000,5.201494216918945) (912,5.16524600982666)* (1240,5.070821285247803) (1285,5.04874849319458) (1,5.00990104675293) (593,5.00162410736084)* (2028,4.94100284576416)* (1246,4.897683143615723) (1036,4.775522708892822)
25: (2571,7.57868766784668) (2628,7.303123950958252)* (589,6.714118003845215) (3175,5.747725486755371) (3578,5.643016815185547)* (1127,5.238219738006592) (2762,5.177445888519287) (1527,4.988408088684082) (110,4.957727909088135) (316,4.870872974395752) (2916,4.788281440734863) (1198,4.728999614715576)* (329,4.7195868492126465) (2393,4.718721389770508) (1584,4.638492584228516) (2959,4.550201892852783) (1197,4.541599750518799) (2683,4.346709251403809) (2858,4.301201820373535) (1240,4.1722002029418945)
26: (11,5.652260780334473) (539,5.312530517578125) (1721,5.307405471801758) (2671,4.979637622833252) (1569,4.947902679443359) (587,4.655912399291992) (1302,4.449128150939941) (440,4.419114112854004) (1968,4.371886730194092)* (2248,4.261925220489502) (339,4.254627227783203) (2145,4.082912921905518) (1674,4.04151725769043) (1270,4.015063285827637) (3210,3.933870553970337) (1246,3.9145290851593018) (39,3.9142215251922607) (1958,3.9104411602020264) (708,3.8907594680786133) (2424,3.8868331909179688)
27: (1252,2.9528393745422363)* (3435,2.460965394973755)* (1284,2.397822856903076) (2186,2.1816060543060303)* (922,2.1311392784118652)* (908,2.079749822616577)* (2987,2.0464000701904297) (913,1.8318699598312378)* (1267,1.8188056945800781)* (1260,1.7476234436035156) (1212,1.7245330810546875) (2066,1.709815263748169)* (923,1.651963710784912)* (930,1.6486551761627197)* (2203,1.5795915126800537) (903,1.5777603387832642) (3334,1.5340712070465088) (1617,1.508844017982483)* (904,1.4909493923187256) (942,1.4371962547302246)
28: (593,7.397093772888184) (1617,6.5436859130859375) (858,6.248805999755859) (296,6.064266204833984) (1259,5.645318031311035) (1193,5.522143840789795) (908,5.493945598602295) (1265,5.115379810333252)* (1307,5.0360612869262695) (2804,5.026460647583008) (1219,4.9790496826171875) (920,4.972871780395508) (1207,4.855640411376953) (541,4.805181980133057) (1213,4.790611267089844) (1252,4.7587151527404785) (2692,4.725162506103516) (750,4.7224626541137695) (1394,4.716709136962891) (923,4.711986541748047)
29: (1196,6.801851272583008)* (1200,6.6965179443359375) (1210,6.595478534698486) (2571,6.232307434082031) (2947,6.171249866485596) (1610,5.998416900634766) (2028,5.993556499481201) (1291,5.931049346923828) (1201,5.925495147705078) (1374,5.757028579711914) (1221,5.734910011291504) (457,5.6796464920043945) (2000,5.674193382263184) (1250,5.4499406814575195) (3793,5.436610221862793) (3654,5.422937393188477) (2948,5.393156051635742) (3703,5.192575931549072) (2194,5.178501129150391) (1304,4.915837287902832)*
30: (1249,1.6398403644561768) (306,1.5737192630767822) (307,1.3366999626159668) (1251,1.2259353399276733) (2731,1.2104300260543823) (308,1.208381175994873) (3083,1.188805103302002) (3089,1.158447027206421) (1172,1.0841150283813477) (2351,1.0486388206481934) (2357,1.0210927724838257) (2360,1.0011982917785645) (1446,1.0011043548583984) (2575,0.978522002696991) (1280,0.9520425796508789) (3789,0.9430558085441589) (154,0.9399071335792542) (1237,0.908632218837738) (858,0.874462366104126) (3357,0.8702622652053833)
31: (2791,6.463401794433594) (1278,5.826621055603027) (3421,5.577262878417969) (2797,5.387881278991699) (1,5.324753284454346) (2918,5.246212005615234)* (1079,5.237512588500977) (1294,5.134937763214111) (1394,5.114736557006836) (1220,4.891365051269531) (1136,4.878750801086426) (3363,4.86226749420166)* (1028,4.763062000274658) (3552,4.660331726074219) (3361,4.649405002593994) (898,4.575432777404785)* (2987,4.549826622009277) (2804,4.533209323883057) (955,4.4087114334106445)* (1197,4.376400947570801)*
32: (1617,5.006595134735107) (50,4.852972984313965) (1249,4.6216816902160645) (2997,4.334394454956055) (296,4.2298712730407715) (318,4.026987552642822) (2762,3.8555243015289307)* (527,3.8366990089416504) (110,3.6224019527435303) (3578,3.6078898906707764) (2571,3.483565330505371) (2028,3.427018880844116) (1089,3.3400142192840576) (1213,3.3389742374420166) (3481,3.324932098388672) (1198,3.2168469429016113) (2692,3.192047595977783) (1259,3.162731647491455) (1197,3.156527042388916) (260,3.1214962005615234)
33: (1387,8.143434524536133)* (1240,7.677420616149902)* (260,7.328803062438965)* (1036,7.315764427185059) (457,7.151542663574219) (1997,6.585364818572998)* (1954,6.486930847167969) (1252,6.247225761413574) (1250,6.221734523773193) (1953,5.744198322296143)* (480,5.71776008605957)* (1617,5.63020133972168) (50,5.550258159637451) (527,5.525333404541016) (1270,5.376414775848389)* (541,5.332366943359375) (1203,5.302928924560547) (1321,5.290030479431152) (1213,5.270020961761475)* (1225,5.265311241149902)*
34: (1197,7.007047176361084)* (1265,6.778008937835693) (1270,6.370100975036621)* (2797,6.325777053833008) (2716,6.251634120941162)* (1257,6.091557025909424) (356,6.0461883544921875)* (3552,6.023429870605469) (1,5.835071086883545)* (1394,5.479114532470703) (1777,5.393327713012695) (39,5.247448921203613)* (3210,5.1629743576049805) (1569,5.152047157287598) (1136,5.125622749328613) (3526,5.124621391296387) (2795,5.119653701782227)* (539,5.106009483337402)* (1079,5.055570602416992)* (593,5.003482341766357)
35: (898,5.913012504577637) (899,5.592141628265381)* (920,5.475667953491211) (923,5.219588756561279) (1207,5.012956142425537) (1136,4.831064224243164)* (750,4.817744255065918) (1256,4.808445930480957) (916,4.70383358001709) (1193,4.640538692474365) (1244,4.5209431648254395) (951,4.437520980834961) (858,4.411494255065918) (1204,4.381687164306641) (2067,4.381552696228027) (111,4.3367462158203125) (914,4.329647064208984) (1947,4.329324722290039) (955,4.327442169189453) (1296,4.307409286499023)
36: (3793,9.222249984741211)* (1036,7.571709156036377)* (2355,6.551065444946289)* (2396,6.117962837219238) (2706,5.913957595825195)* (780,5.692482948303223)* (1923,5.681181907653809)* (593,5.599582672119141)* (1387,5.522820472717285)* (3510,5.427855491638184) (21,5.424283027648926)* (858,5.408992767333984)* (1220,5.304292678833008) (3555,5.29707670211792) (3421,5.244401931762695) (1912,5.232296943664551)* (3104,5.214117527008057)* (1356,5.0638933181762695)* (2628,5.028321266174316) (1097,5.025629043579102)*
37: (1265,5.9135847091674805) (539,5.820362091064453) (588,5.467581748962402) (1,5.456557273864746) (1721,5.295602798461914) (914,5.097675323486328) (39,5.016988754272461) (339,4.939247131347656) (916,4.8472208976745605) (912,4.710230827331543)* (1393,4.697665214538574) (838,4.682535171508789) (2424,4.645533561706543) (17,4.636510848999023) (7,4.3873491287231445) (440,4.362761974334717) (1028,4.305206775665283) (1777,4.239410400390625) (1088,4.213369369506836)* (11,4.1616716384887695)
38: (597,7.74702787399292) (1265,6.655128479003906) (357,6.056239128112793)* (11,5.482050895690918) (2081,5.295378684997559) (2424,5.152918815612793) (440,4.834010601043701) (1784,4.804404258728027) (1923,4.731840133666992) (497,4.682556629180908) (7,4.624112129211426) (1680,4.524863243103027) (595,4.415587425231934) (3114,4.364497184753418) (34,4.25547981262207) (2324,4.24901008605957)* (2125,4.213809013366699) (318,4.146612644195557) (1641,4.129395484924316) (265,4.11521053314209)
39: (2987,11.64397144317627) (2762,7.948510646820068) (2683,7.808793067932129) (2706,7.739752769470215) (2599,6.989381790161133)* (2395,6.443480491638184)* (2502,5.608861446380615)* (3081,5.457364082336426) (2336,5.283721446990967) (3176,5.058646202087402) (1197,5.049291610717773) (3174,5.025205612182617) (2710,5.017993450164795) (785,4.935542106628418) (1210,4.7697296142578125) (2571,4.696385383605957) (2028,4.635454177856445) (2707,4.624591827392578) (3408,4.558869361877441) (2761,4.522383213043213)
40: (1250,6.45797061920166) (1210,6.123500347137451) (260,6.110526084899902) (1262,5.620621681213379)* (3654,5.148072242736816) (1374,4.974577903747559) (1253,4.9265313148498535) (912,4.707874298095703)* (1019,4.61549186706543) (1408,4.610158920288086) (2028,4.589757919311523) (590,4.450037956237793) (940,4.43037748336792) (1201,4.295882225036621) (3366,4.171457767486572) (2366,4.078273773193359) (1304,4.0318427085876465) (110,4.021902084350586) (2067,4.005157470703125) (480,3.9374871253967285)
41: (260,4.684281349182129)* (2571,3.4466745853424072) (2396,3.230508804321289) (589,3.1805176734924316) (1198,3.15224552154541) (356,3.0845837593078613) (480,3.05239200592041) (1270,2.9571194648742676) (527,2.9236559867858887) (1097,2.864307403564453) (110,2.8257315158843994) (2987,2.808560848236084) (318,2.7290592193603516) (2028,2.671823024749756) (2716,2.6418521404266357) (3175,2.5745418071746826) (2355,2.5488486289978027) (3081,2.5456080436706543) (1214,2.5392966270446777) (1,2.5014703273773193)
42: (589,9.251602172851562)* (3527,8.297100067138672)* (2571,7.756148815155029) (3793,7.650897979736328)* (2916,7.307625770568848) (2968,6.961483001708984) (3702,6.94333028793335)* (2985,6.899683952331543)* (1198,6.681149959564209)* (3471,6.647847652435303)* (2393,6.642768383026123)* (329,6.537171363830566)* (1527,6.532381057739258) (780,6.473827362060547) (2528,6.3734893798828125) (316,6.200888633728027)* (1580,6.117767333984375) (3699,5.959077835083008) (1259,5.899600028991699) (2000,5.88832426071167)
43: (2683,5.45219087600708) (2987,5.376962661743164) (2355,5.357434272766113) (223,4.9939703941345215) (2716,4.9313249588012695) (593,4.311490535736084) (1,4.304734230041504) (3578,4.194279193878174) (3408,4.106871604919434) (2028,3.875061511993408) (2395,3.821244716644287) (1265,3.740541696548462) (3176,3.6890017986297607) (2959,3.6850104331970215) (318,3.6712334156036377) (3175,3.592101573944092) (1270,3.5417237281799316) (2700,3.35280704498291) (1617,3.333380699157715) (608,3.3098669052124023)
44: (588,9.113960266113281) (2987,8.637903213500977)* (1197,8.0695161819458)* (1580,7.191505432128906) (3175,6.652815818786621) (3114,6.585202693939209) (595,6.426260471343994) (1259,5.941204071044922) (1376,5.885603904724121) (2081,5.864073753356934) (2355,5.815834045410156) (1214,5.532477855682373) (541,5.432973384857178) (2161,5.331847190856934) (110,5.286977767944336) (1200,5.205790996551514) (364,5.135822772979736) (2005,5.126299858093262) (2078,5.048149108886719) (2791,4.957698822021484)
45: (597,7.249670028686523) (539,6.946077346801758) (1307,6.861374855041504) (2396,6.679706573486328) (838,6.650448799133301) (1569,6.169105529785156) (587,5.884167671203613)* (898,5.646812438964844) (2424,5.5625386238098145) (1265,5.539395809173584)* (3072,5.381863117218018) (2243,5.0986833572387695) (17,5.095354080200195) (7,5.016695022583008) (2406,5.0062255859375) (933,4.840836524963379) (497,4.820306777954102)* (2302,4.761440277099609) (2108,4.739267349243164) (1269,4.681931495666504)
46: (578,17.895307540893555) (3797,7.209908485412598) (3799,3.9244508743286133) (570,3.3102211952209473) (3946,3.2948668003082275) (3934,3.0575203895568848) (573,2.780726194381714) (1832,2.693176746368408) (3789,2.6871466636657715) (1993,2.5013926029205322) (557,2.294870376586914) (2053,2.1956772804260254) (3382,2.1901073455810547) (3940,2.177734375) (1992,2.12975811958313) (1981,2.0393271446228027)* (2196,2.0196094512939453) (1980,1.996549367904663)* (2351,1.9795399904251099) (1787,1.96961510181427)
47: (593,6.699582099914551) (2028,5.243237495422363) (608,4.944304943084717) (1225,4.867748260498047) (1213,4.695706367492676)* (296,4.676283836364746) (2858,4.6474127769470215) (1704,4.499866962432861) (912,4.2926483154296875) (1207,4.243424415588379) (1247,4.001504898071289)* (923,3.88838791847229) (260,3.774183988571167) (1196,3.7144346237182617) (111,3.707650661468506) (2324,3.677670478820801) (1250,3.6467556953430176) (919,3.5898830890655518) (50,3.519953966140747) (1198,3.368560314178467)
48: (110,8.636343002319336)* (527,8.181081771850586)* (588,8.15182876586914) (593,7.481079578399658)* (1197,6.740257263183594) (919,6.592010021209717)* (1265,6.556731224060059) (595,6.436026573181152) (3793,6.326846122741699) (1704,5.808787822723389) (1259,5.461913108825684) (1221,5.312272548675537)* (590,5.284372806549072) (648,5.122257232666016) (908,5.041590690612793) (733,5.032046318054199) (1356,5.029266357421875) (1307,5.026622772216797) (2716,5.000384330749512) (2081,4.985594749450684)
49: (1617,2.712319850921631) (1248,2.6073601245880127) (903,2.2183942794799805) (904,2.2145605087280273) (913,2.210447311401367) (1267,2.047433614730835)* (541,2.0198986530303955) (924,2.008639335632324) (858,1.9896172285079956)* (608,1.9895011186599731) (111,1.9611284732818604) (3435,1.939605951309204) (750,1.9332650899887085) (2987,1.9289660453796387) (1284,1.8954215049743652) (912,1.8781613111495972) (1230,1.862248182296753) (1221,1.8417973518371582) (1193,1.8341631889343262)* (908,1.822290301322937)
50: (1259,5.121106147766113) (1249,5.009812831878662) (3753,4.383479118347168) (110,4.205198287963867) (3793,4.177633285522461) (3481,4.002745628356934) (3578,3.8319661617279053) (3555,3.704408645629883) (908,3.6737921237945557) (480,3.6270008087158203) (3624,3.5980064868927) (589,3.4424352645874023) (3897,3.42470645904541) (3510,3.331582546234131) (3948,3.025092840194702) (3160,2.895132303237915) (1035,2.846451997756958) (1580,2.7992801666259766) (3408,2.7736525535583496) (2291,2.7534022331237793)
51: (3798,4.718324661254883) (3114,4.348872184753418)* (3753,4.1776275634765625) (3948,3.9314961433410645) (3408,3.907975673675537) (2858,3.8594655990600586) (3751,3.7821669578552246) (356,3.693666458129883) (2706,3.5077412128448486) (3578,3.4989936351776123) (3510,3.249180793762207) (3555,3.2400102615356445) (3624,3.229595422744751) (593,3.1434500217437744) (595,3.141742706298828) (2355,3.083589553833008) (3916,3.051380157470703) (3752,3.0400209426879883) (3755,3.0365638732910156) (1923,3.0244786739349365)*
52: (110,6.9630279541015625)* (2058,6.716714859008789) (2571,6.518370628356934) (457,6.343708038330078)* (480,6.161622047424316) (648,5.862226486206055) (1370,5.643133163452148) (3578,5.349613189697266) (1917,5.266201496124268) (2353,5.212174415588379)* (3753,5.2114691734313965) (349,5.134900093078613)* (165,5.058995246887207)* (3256,4.974644660949707) (6,4.8247175216674805)* (377,4.822632789611816) (1527,4.5947957038879395) (1580,4.415609836578369) (1036,4.389279365539551) (3555,4.384124279022217)
53: (541,6.84928035736084)* (1249,6.685605049133301)* (2336,6.146293640136719)* (593,5.775249481201172)* (2959,5.754993438720703)* (2455,5.568524360656738)* (920,5.54118537902832)* (778,5.28367805480957) (555,5.265660285949707) (296,5.263376235961914)* (1097,5.23323917388916) (1093,5.223376274108887) (353,5.126472473144531)* (608,5.0542120933532715)* (968,4.962568283081055)* (1089,4.950291633605957)* (198,4.927281379699707) (1215,4.900097846984863)* (1676,4.895702362060547) (1358,4.770447731018066)
54: (1304,2.1795129776000977)* (3789,1.8948217630386353) (3037,1.7441120147705078)* (3671,1.7307580709457397)* (3836,1.7227041721343994) (3793,1.696599006652832) (2302,1.5892539024353027) (2987,1.5549919605255127) (1230,1.534724473953247)* (1294,1.5335257053375244) (590,1.4783941507339478) (3812,1.4605072736740112) (3147,1.4409551620483398) (3792,1.4235236644744873) (1256,1.4159445762634277) (3654,1.3942389488220215) (588,1.3543050289154053) (2300,1.3502318859100342)* (1270,1.349584937095642) (1078,1.3490562438964844)
55: (1,6.375319480895996) (593,6.211989402770996)* (2028,5.035235404968262) (527,4.693343162536621)* (2571,4.329868316650391) (588,4.216876029968262) (2858,4.150217056274414) (2355,4.034738063812256) (608,4.01224422454834) (34,3.731381416320801) (260,3.7265939712524414) (1704,3.7194652557373047)* (150,3.6901464462280273)* (50,3.6370153427124023) (3147,3.5743136405944824) (480,3.5117719173431396) (296,3.50036358833313) (3793,3.463131904602051) (595,3.3676090240478516) (1196,3.3486673831939697)
