userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
17: (1584,13.81236457824707)* (541,10.820528984069824)* (1396,10.757814407348633) (3702,8.367671966552734) (1676,7.85729455947876) (2393,7.728440284729004) (1200,7.721454620361328)* (1215,7.41254997253418)* (2664,7.385313510894775)* (1372,6.983087539672852) (2968,6.339369773864746) (29,5.9196672439575195) (2628,5.819570541381836) (2009,5.5641889572143555) (2094,5.374697685241699) (3697,5.254743576049805) (3623,5.250040054321289) (3751,5.250040054321289)* (1307,5.250040054321289) (1358,5.250040054321289)*
169: (2791,5.3813371658325195)* (1036,4.956332206726074)* (3753,4.881814956665039) (1270,4.415381908416748)* (3552,4.413657188415527) (3555,4.26961612701416) (1259,4.124715805053711) (3253,4.082793712615967)* (104,3.873330593109131) (2571,3.871706962585449)* (1517,3.8617286682128906)* (3755,3.8428549766540527) (3147,3.8049540519714355)* (1374,3.683666467666626) (474,3.6733555793762207) (648,3.581700563430786)* (165,3.4858553409576416) (3360,3.455038547515869) (1393,3.435267925262451)* (2081,3.375462055206299)
202: (2706,5.802820682525635) (2028,4.975022315979004)* (1721,4.737611293792725) (2716,4.725093364715576)* (2762,4.632065773010254) (733,4.622223854064941)* (3793,4.508135795593262) (2000,4.472986221313477)* (1407,4.339129447937012) (3510,4.30775260925293) (1393,4.201346397399902)* (1608,4.169075012207031) (3147,4.137120723724365) (104,4.109781742095947)* (2605,4.10769510269165) (2353,4.057957649230957) (2881,3.9895100593566895)* (1923,3.864722728729248) (11,3.7982351779937744)* (587,3.7866291999816895)
236: (2028,3.5045857429504395) (2858,3.3748779296875) (2571,3.266465902328491)* (1270,3.12355375289917) (2762,2.9947967529296875) (110,2.9888362884521484) (1240,2.9363365173339844) (527,2.8648393154144287) (1097,2.830733060836792) (480,2.6960840225219727) (2716,2.487550735473633) (1136,2.432102918624878) (541,2.3657121658325195)* (919,2.33389949798584) (1193,2.3123040199279785)* (1036,2.292407751083374)* (3578,2.272341251373291) (1221,2.2187693119049072) (296,2.1881496906280518) (2997,2.129272937774658)
242: (2997,3.600574016571045) (3114,3.320005416870117) (3793,3.287837028503418) (3481,3.190156936645508) (1265,3.1569905281066895) (745,3.1441712379455566)* (1527,3.069375991821289)* (1,3.0272066593170166) (1923,2.9589130878448486) (2355,2.809183120727539) (1223,2.772310256958008) (2599,2.7576560974121094) (3253,2.66864013671875) (3897,2.649416208267212) (1080,2.6015853881835938) (2502,2.5802628993988037) (1500,2.5709052085876465) (2706,2.54938006401062) (3948,2.5259735584259033) (671,2.5167908668518066)*
245: (1250,4.502656936645508)* (913,4.439999580383301) (969,4.195347785949707) (1262,4.168737888336182)* (1252,3.9256839752197266) (923,3.844618797302246) (1193,3.835737943649292)* (3471,3.660491943359375) (903,3.6123909950256348) (1276,3.590538501739502) (1294,3.56518816947937) (1270,3.5248916149139404) (1240,3.4012608528137207) (3196,3.392383098602295) (1287,3.3678336143493652)* (3095,3.3617875576019287) (608,3.3402373790740967) (920,3.3325719833374023) (2944,3.302476644515991)* (1234,3.2849485874176025)
281: (2997,5.4280500411987305) (2762,4.420361518859863) (2908,4.4026947021484375)* (2396,4.230196475982666) (2599,4.191905498504639) (1704,4.103036880493164) (3897,3.9714605808258057) (1213,3.9464190006256104) (36,3.794271945953369) (1673,3.700561046600342) (1041,3.408540964126587) (1,3.399895668029785) (2333,3.30228328704834)* (3408,3.272257089614868) (457,3.266566276550293) (1089,3.2560203075408936) (2289,3.2506604194641113) (3481,3.2367067337036133) (2291,3.2019944190979004) (150,3.128718852996826)
285: (1193,4.183405876159668)* (608,3.7790274620056152) (296,3.519355297088623) (1252,3.517580032348633) (1089,3.343836784362793) (2064,3.321362018585205) (1186,3.164917469024658) (1394,3.117133140563965) (1263,3.0996103286743164)* (1231,3.085969924926758) (3735,3.052067279815674)* (1288,2.9773993492126465) (1244,2.9441421031951904) (923,2.861283779144287) (2352,2.839940071105957) (1293,2.83418345451355) (1179,2.8161630630493164)* (1230,2.804140329360962) (3504,2.7773821353912354) (2973,2.7225728034973145)
287: (2336,4.763707160949707)* (3176,4.759191989898682) (2908,4.494418144226074) (2599,4.166507720947266) (608,4.046107292175293) (1617,3.7672955989837646) (2686,3.642374277114868) (3408,3.6359806060791016)* (3578,3.585042953491211)* (2355,3.2889297008514404) (1704,3.2133216857910156)* (265,3.1239330768585205) (3114,2.8948254585266113) (2324,2.815640449523926) (34,2.6463942527770996) (3185,2.595762014389038) (1041,2.5947554111480713) (2690,2.561554431915283) (3147,2.545315742492676) (800,2.4786243438720703)
292: (2571,2.392967700958252)* (541,2.276296615600586) (2997,1.9740382432937622) (1214,1.8383150100708008) (1206,1.8305885791778564) (1584,1.7909539937973022) (1527,1.7040464878082275) (1196,1.6971373558044434)* (1653,1.6801974773406982)* (1748,1.637650966644287) (608,1.599216103553772) (1200,1.5432984828948975) (480,1.5371705293655396) (1240,1.505860447883606) (2968,1.481876254081726) (2762,1.4110572338104248) (3471,1.4014168977737427) (1356,1.3985614776611328) (2628,1.3593952655792236) (296,1.347756266593933)
295: (2858,6.478156089782715)* (3578,6.442801475524902)* (1198,4.482146739959717)* (1196,4.444724082946777)* (457,3.9878158569335938)* (913,3.8260996341705322) (2692,3.715808629989624) (3408,3.6843183040618896) (2490,3.6502368450164795) (2710,3.57871150970459)* (2763,3.5782032012939453) (2707,3.3597240447998047) (3081,3.352090835571289) (2712,3.300107002258301)* (3114,3.2906124591827393)* (3555,3.287210464477539) (3624,3.1820614337921143) (541,3.166379451751709) (296,3.151705741882324) (3176,3.14113187789917)
297: (527,3.972874641418457) (1193,3.516752243041992)* (1,3.4445977210998535) (260,3.2757568359375) (1198,3.2525691986083984) (2762,3.247256278991699) (1148,3.197413444519043) (912,3.087167263031006) (3114,3.0103094577789307) (1196,2.999324321746826) (34,2.9877142906188965) (908,2.937981367111206)* (745,2.8675031661987305) (1259,2.842623710632324) (1923,2.7668018341064453) (1230,2.7463314533233643) (2700,2.744479179382324) (1704,2.7113258838653564) (2289,2.655789613723755) (1060,2.63887882232666)
309: (260,4.020270347595215) (1196,3.9326322078704834) (608,3.7878317832946777) (2858,3.7800443172454834)* (1214,3.652240753173828) (2916,3.6130738258361816) (541,3.510972499847412) (32,3.4757823944091797) (2628,3.219775915145874) (1,3.1462926864624023) (1097,3.085977792739868)* (1198,3.075453281402588)* (3114,2.9803824424743652) (3578,2.907773017883301) (3147,2.906278610229492) (1527,2.8780713081359863) (780,2.839345932006836)* (1374,2.824799060821533) (3793,2.783568859100342) (3471,2.7382826805114746)
312: (1193,3.428781509399414)* (527,3.1843714714050293) (1221,2.994722366333008) (912,2.8213796615600586) (908,2.7340729236602783) (1213,2.685851812362671) (111,2.666475534439087) (1230,2.5517737865448) (1952,2.4145336151123047) (923,2.4087088108062744) (1207,2.3625659942626953) (1233,2.3387513160705566) (2028,2.330855131149292) (1208,2.317044734954834) (1252,2.2123231887817383) (1250,2.147162675857544) (1293,2.1317083835601807) (1204,2.1220011711120605) (1228,2.092987060546875)* (1617,2.0041096210479736)
319: (1193,6.023719310760498)* (527,5.892503261566162)* (2858,5.297172546386719)* (111,4.564808368682861)* (36,4.399121284484863)* (1231,4.253283977508545)* (908,4.242005825042725)* (3408,4.071167945861816) (1961,4.055276870727539)* (1674,4.042987823486328)* (3363,3.991589069366455)* (1244,3.954921245574951) (3359,3.840306282043457)* (1673,3.770595073699951) (1962,3.723557949066162) (246,3.6989169120788574) (3418,3.677555561065674) (3100,3.6513314247131348) (1183,3.5869128704071045) (2268,3.5676958560943604)*
334: (912,4.497808456420898) (969,3.9781246185302734) (1947,3.717057943344116)* (908,3.1296064853668213) (527,3.100583553314209)* (1183,3.0960216522216797)* (1207,2.892632007598877) (2565,2.8885772228240967) (1035,2.883021593093872) (915,2.7960751056671143) (932,2.7366390228271484) (928,2.634431838989258) (1250,2.6100683212280273) (1674,2.5453453063964844) (3668,2.518244743347168) (597,2.507143974304199) (1296,2.499880313873291) (58,2.4857265949249268) (913,2.415851593017578) (945,2.409876585006714)
392: (1517,4.746635913848877)* (2791,4.450002193450928) (1089,4.149463176727295) (3210,3.931896924972534) (1617,3.8545892238616943) (2997,3.822537422180176) (2858,3.790522336959839) (1079,3.769068717956543)* (2716,3.7362937927246094)* (1036,3.719363212585449) (2797,3.7104039192199707) (104,3.67008113861084)* (1270,3.5858829021453857)* (3868,3.522749185562134) (6,3.4767582416534424) (2028,3.475325345993042) (260,3.471234083175659)* (150,3.4536261558532715) (2324,3.4516074657440186) (1221,3.421797752380371)
424: (2662,4.746565818786621)* (2366,4.743297576904297)* (594,4.681636333465576)* (1345,4.627476215362549) (1321,4.602421283721924)* (2951,4.535966873168945) (903,4.362508773803711)* (1206,4.357199668884277)* (1258,4.33674955368042)* (2716,4.30921745300293)* (2948,4.305823802947998)* (2087,4.29937744140625)* (2871,4.170909881591797)* (1035,4.160695552825928)* (1262,4.149723529815674)* (2791,4.075216293334961)* (2407,4.062448024749756) (3396,4.028132915496826) (3203,3.987745761871338)* (2137,3.95999813079834)
438: (3793,5.450963020324707) (2502,5.260935306549072) (1136,5.079204559326172)* (260,5.0771589279174805)* (1923,4.680063247680664)* (2628,4.584973335266113)* (2762,4.297723293304443)* (104,4.266458034515381)* (2572,4.224194526672363)* (364,4.216999053955078)* (32,4.112174987792969)* (180,4.076056957244873)* (2694,4.075753688812256) (1223,4.018513202667236)* (1584,3.9883904457092285) (1682,3.9881443977355957) (785,3.9860572814941406) (2761,3.8751299381256104) (671,3.861002206802368) (1274,3.847155809402466)*
445: (1127,4.690537452697754) (3510,4.451617240905762)* (3753,4.356003761291504) (2571,4.350711822509766)* (1214,4.232292175292969)* (2628,4.189263343811035) (1200,3.8183531761169434) (3471,3.751890182495117)* (110,3.6630187034606934) (2355,3.4486308097839355) (3354,3.2887868881225586) (1372,3.2108407020568848) (3481,3.1019322872161865)* (3755,3.0703938007354736) (1253,3.0318243503570557) (1653,3.0156874656677246)* (1206,2.928433895111084) (32,2.917412281036377) (2968,2.8432397842407227)* (1748,2.84283709526062)
453: (260,4.628778457641602)* (1136,4.494548797607422)* (2791,3.85701060295105)* (608,3.662177085876465) (908,3.4583137035369873) (1270,3.33416748046875)* (1,3.305842876434326) (1213,3.25813627243042)* (1193,3.1965279579162598)* (1221,3.1787831783294678) (2918,3.104735851287842) (1230,3.0992136001586914)* (3671,3.076997756958008) (2700,3.0585412979125977)* (3114,3.0474038124084473) (2396,3.007286310195923) (541,2.9871068000793457) (1394,2.9743587970733643) (745,2.900310516357422)* (1288,2.8704171180725098)*
456: (480,3.914710521697998) (2571,3.6763882637023926) (2396,3.5702016353607178) (2858,3.265542984008789) (110,3.2128567695617676)* (527,3.075716257095337) (1127,2.9080278873443604) (1200,2.9021964073181152) (541,2.887798547744751) (1214,2.8876030445098877) (457,2.790708541870117)* (919,2.7698917388916016) (2916,2.6669421195983887) (1265,2.6429662704467773) (1036,2.6181955337524414) (2987,2.611856460571289) (1721,2.5866212844848633) (34,2.507739782333374) (3471,2.501272201538086) (1584,2.4851882457733154)
460: (2918,3.4567337036132812) (3210,3.0648136138916016) (1079,2.999634027481079) (3253,2.9637956619262695) (2716,2.8974556922912598) (1136,2.828197479248047)* (2795,2.8125686645507812) (3671,2.8044047355651855) (1923,2.7624118328094482) (1080,2.6767807006835938) (1288,2.6457948684692383) (1270,2.520787239074707) (2371,2.5195202827453613) (1257,2.5012989044189453) (2174,2.4838480949401855) (2144,2.4673349857330322) (2797,2.4613265991210938) (1784,2.316267967224121) (2788,2.2939863204956055) (2150,2.284318685531616)
467: (1721,2.855802059173584) (2858,2.3477165699005127) (2028,2.2466092109680176) (480,2.2415130138397217) (527,2.1992623805999756)* (597,2.1343533992767334) (1704,2.100393772125244) (457,2.0392189025878906) (608,2.0381312370300293) (3753,1.9926807880401611) (3408,1.954599142074585) (590,1.9317519664764404) (11,1.8872387409210205) (1784,1.8465685844421387) (2396,1.8448468446731567) (1265,1.7765251398086548) (150,1.7186294794082642) (2424,1.6935224533081055) (1569,1.6839051246643066) (377,1.647218942642212)
491: (3753,2.185255289077759) (3578,2.1517529487609863) (480,2.0288169384002686) (527,1.9166711568832397) (3555,1.7529515027999878) (296,1.6377686262130737) (1704,1.563081979751587) (1673,1.4827888011932373) (3481,1.4812211990356445) (3624,1.4477918148040771) (2706,1.4444056749343872) (1213,1.443329095840454) (2791,1.4375214576721191) (457,1.4295228719711304) (1198,1.4047319889068604) (3897,1.398376226425171) (2291,1.3974475860595703) (2997,1.3940571546554565)* (1196,1.3893914222717285) (608,1.34651780128479)
507: (912,2.5991244316101074) (923,2.3267555236816406) (745,2.1773228645324707) (608,2.101390838623047) (2692,1.9777913093566895) (541,1.9555654525756836) (527,1.9228061437606812) (1230,1.887711524963379) (1249,1.8673888444900513) (306,1.8355268239974976) (2997,1.8161730766296387) (1172,1.8102078437805176) (1296,1.7947444915771484) (1223,1.792565107345581) (1041,1.789534568786621) (2019,1.7741601467132568) (1252,1.7467360496520996) (720,1.737327218055725) (3481,1.731322169303894) (1280,1.730578064918518)
515: (2858,4.4582695960998535) (608,4.170756816864014)* (1230,3.4425888061523438) (111,3.2327890396118164)* (1193,3.126976490020752)* (1213,3.1008694171905518) (3911,3.0193557739257812) (1965,2.974262237548828)* (3897,2.962146759033203) (1221,2.8962740898132324) (1259,2.8830060958862305) (1284,2.873687744140625) (1244,2.820321559906006) (162,2.794051170349121) (246,2.7533483505249023) (1249,2.7363038063049316) (1179,2.6393795013427734) (1673,2.6249372959136963) (745,2.604063034057617) (1206,2.5746912956237793)
524: (1407,5.132479190826416)* (3476,4.620438575744629) (1997,4.577330589294434)* (2712,4.540462017059326) (1213,4.538447380065918)* (1261,4.419612407684326)* (1228,4.388842582702637)* (3911,4.3024749755859375)* (70,4.1429901123046875)* (253,4.132629871368408) (800,4.125946044921875) (1923,4.083106994628906)* (1625,4.033709526062012)* (3081,4.0270586013793945) (1635,3.9456799030303955) (1345,3.916994333267212)* (1921,3.9006221294403076) (288,3.879309892654419)* (785,3.8754920959472656)* (162,3.870431900024414)
537: (908,4.322675704956055) (1193,4.098426818847656)* (923,3.744525909423828) (111,3.5954480171203613) (1221,3.5292296409606934) (527,3.4679856300354004) (2858,3.45021915435791) (1204,3.4072179794311523) (1267,3.3165595531463623)* (1233,3.246300220489502) (903,3.2024497985839844) (1284,3.177649736404419) (1207,3.154572010040283) (922,3.0959131717681885) (2997,3.086918592453003)* (1212,3.042773723602295) (296,3.0275964736938477) (919,3.02443528175354) (1244,2.9414114952087402) (969,2.860536575317383)
601: (2710,4.610940933227539) (2706,4.388529300689697) (2997,4.284003257751465) (2599,4.186507701873779) (1089,4.1352996826171875) (1407,3.8114683628082275) (2712,3.7988147735595703) (3081,3.776031255722046) (1258,3.643817901611328) (785,3.6007323265075684) (1060,3.5037717819213867) (2908,3.401434898376465) (2692,3.3201966285705566) (1215,3.2073278427124023) (180,3.1870737075805664) (1261,3.1402018070220947)* (2716,3.1250534057617188) (253,3.119361400604248)* (1639,3.105536460876465)* (1206,3.0866219997406006)*
673: (1041,4.890872001647949)* (265,4.633208751678467) (306,4.5779924392700195)* (2908,4.425297260284424) (2333,4.423012733459473) (1673,4.4047532081604) (515,4.3416032791137695) (17,4.235070705413818) (1719,4.088224411010742) (2686,3.971712827682495) (3910,3.9533095359802246)* (3911,3.8186206817626953)* (509,3.7289328575134277) (2442,3.7230491638183594) (308,3.7183566093444824) (58,3.7060327529907227)* (2692,3.564730644226074) (3481,3.5165200233459473) (1296,3.5157737731933594) (1921,3.4742767810821533)
677: (1193,3.912275552749634)* (923,3.6832382678985596) (111,3.6037213802337646) (1084,3.5104942321777344) (1252,3.407146453857422) (1207,3.4033591747283936) (1953,3.3370003700256348) (1244,3.296856164932251) (3362,3.223381519317627) (3095,3.1907341480255127) (1250,3.1534018516540527) (3468,3.143099308013916)* (1212,3.088779926300049) (3735,3.0860018730163574)* (1267,3.023743152618408) (1208,3.0078046321868896) (1276,3.001943349838257) (608,2.9945731163024902) (1254,2.9839255809783936) (1233,2.9516735076904297)
744: (1200,4.380306243896484)* (1240,4.302372932434082) (2916,3.8347930908203125) (780,3.7120604515075684) (1127,3.597132682800293) (1527,3.5698838233947754) (1676,3.5130152702331543) (3793,3.3680760860443115) (3578,3.3612465858459473)* (1036,3.3611087799072266) (1198,3.2930448055267334) (70,3.2012522220611572) (316,3.18202543258667) (2000,3.178572654724121) (1129,3.1710071563720703)* (610,3.1433563232421875) (2985,3.0733261108398438) (1206,3.0200610160827637) (1220,2.9876549243927) (1376,2.9703474044799805)*
749: (1193,3.6611669063568115)* (1997,3.5188827514648438) (3363,3.2647652626037598)* (1276,3.237229824066162)* (1258,3.2176475524902344)* (111,3.203187942504883) (1207,3.175572156906128) (923,3.1316046714782715) (2791,3.0564041137695312)* (1982,2.9989631175994873)* (3508,2.9826338291168213) (908,2.9255690574645996)* (3210,2.918703079223633) (1294,2.896740436553955) (3735,2.864354133605957) (1994,2.8554210662841797) (2000,2.849581003189087) (1953,2.8222198486328125) (3362,2.8172788619995117) (3039,2.795013904571533)
760: (608,2.945955991744995)* (908,2.268500804901123) (1041,2.1972908973693848) (2291,2.1925082206726074)* (296,2.142299175262451) (1280,2.002253532409668) (36,1.9700080156326294) (1193,1.9580199718475342)* (306,1.8957593441009521) (3897,1.8942997455596924) (265,1.8462333679199219) (2908,1.834291934967041) (1213,1.8008772134780884) (1233,1.774901032447815) (778,1.753188133239746) (3911,1.7238479852676392) (1719,1.6820327043533325) (3910,1.6520193815231323) (110,1.644131064414978) (111,1.6378285884857178)
773: (3578,2.9050416946411133) (2706,2.7553741931915283) (3793,2.7145395278930664)* (2355,2.6071035861968994) (1127,2.551849603652954) (2762,2.491791248321533)* (2694,2.4318318367004395) (2605,2.333237409591675) (2541,2.3178014755249023) (2688,2.3006246089935303) (3408,2.1919758319854736) (2571,2.0838356018066406)* (2858,1.980110764503479) (3114,1.9732489585876465) (2763,1.9638615846633911) (2987,1.9527087211608887) (2707,1.9325776100158691) (3510,1.9291952848434448) (2881,1.911183476448059)* (2572,1.887507438659668)
792: (541,4.308910369873047) (3793,3.685318946838379)* (1200,3.670430898666382)* (3578,3.4063286781311035) (1748,2.955702781677246) (480,2.843085289001465) (1127,2.800739288330078) (2692,2.680161952972412) (3300,2.611729145050049) (1215,2.610056161880493) (3624,2.5664021968841553) (2455,2.549896717071533) (1653,2.542243480682373) (741,2.534977436065674) (3897,2.506436824798584)* (3703,2.471937656402588) (3471,2.471313238143921) (1527,2.4653232097625732) (1921,2.432117223739624) (1270,2.406856060028076)*
840: (1028,4.645754814147949)* (34,4.432756423950195)* (2081,4.329837799072266) (2987,4.036504745483398) (1148,3.776803970336914) (1394,3.7535557746887207) (1265,3.7482874393463135) (1259,3.716251850128174) (2396,3.7060296535491943)* (1288,3.6152892112731934)* (1947,3.4318058490753174) (2096,3.414653778076172)* (2997,3.41328763961792) (745,3.342914342880249) (1035,3.331531286239624) (1230,3.2167069911956787) (296,3.1766135692596436)* (2599,3.0946993827819824) (2137,3.0552375316619873)* (527,3.027221202850342)
841: (3481,2.7468676567077637) (3753,2.4657490253448486)* (2858,2.4285495281219482) (3510,2.3424744606018066) (3555,2.318132162094116) (3911,2.0780527591705322) (3948,2.0654847621917725) (110,2.0595178604125977) (3893,1.9533153772354126) (3408,1.9390296936035156) (3916,1.847254991531372)* (3952,1.794093370437622) (908,1.7585844993591309) (3793,1.7140939235687256) (1259,1.57435142993927) (3173,1.574092149734497)* (1673,1.5327744483947754) (2791,1.49018394947052) (3755,1.489320993423462) (1249,1.433242678642273)
850: (1248,4.457543849945068) (1345,4.26910924911499) (1206,3.760904312133789) (1982,3.5670559406280518)* (3683,3.5016489028930664) (2731,3.4892377853393555) (2203,3.4754533767700195) (3089,3.4661481380462646) (3201,3.4465646743774414) (2908,3.428753137588501) (1244,3.400085687637329) (1251,3.3095803260803223) (2550,3.2779381275177) (111,3.2490203380584717) (3741,3.2408392429351807) (1284,3.2300686836242676) (562,3.192373514175415) (2366,3.1898701190948486)* (3911,3.1679134368896484)* (2859,3.149766445159912)
870: (2918,2.347460985183716) (2797,2.3207061290740967)* (1259,2.3098437786102295) (2716,2.2718396186828613) (1394,2.0451369285583496) (1079,1.8663338422775269) (1097,1.8446099758148193) (3210,1.7826776504516602) (3552,1.7824692726135254) (2396,1.7219951152801514) (3039,1.6981236934661865) (2706,1.6895475387573242) (3072,1.6728256940841675) (3526,1.6706669330596924) (1265,1.6433649063110352) (1923,1.6377618312835693) (11,1.6248939037322998) (1220,1.5645670890808105) (2915,1.5623886585235596) (3671,1.561461091041565)
900: (2858,3.4049885272979736)* (3176,2.5803956985473633) (2599,2.4698565006256104) (2355,2.382474422454834) (2908,2.38095760345459)* (2987,2.374943733215332) (2716,2.3476336002349854) (1959,2.149676561355591) (2333,2.1171417236328125) (3408,2.074681282043457) (3543,2.0550503730773926) (2686,2.0475845336914062) (2706,1.8434042930603027) (3578,1.8272695541381836) (3114,1.806950569152832) (2688,1.7992151975631714) (3203,1.7464591264724731) (2712,1.7335259914398193) (2692,1.7255911827087402)* (2734,1.714155673980713)
907: (912,2.9672627449035645) (1252,2.783132314682007)* (1198,2.737916946411133) (908,2.627673625946045) (2028,2.503124475479126)* (541,2.431035280227661) (527,2.3990092277526855) (969,2.384453535079956) (919,2.2818281650543213) (1193,2.249568223953247)* (1214,2.157107353210449) (923,2.1364691257476807) (1284,2.136244773864746) (903,2.128904104232788) (1240,2.0184450149536133) (1233,2.0144476890563965) (110,1.9404658079147339) (1254,1.929711937904358) (2858,1.9144036769866943) (1212,1.896331548690796)
946: (2858,3.1796412467956543) (912,3.0803284645080566) (2028,2.8108749389648438) (1196,2.80356502532959) (1198,2.6208014488220215) (1193,2.60121488571167)* (480,2.254274368286133) (969,2.2296204566955566) (608,2.218234062194824) (923,2.1998510360717773) (920,2.161017417907715) (2762,2.089716672897339) (913,2.0605404376983643) (1207,2.0255258083343506) (1225,1.9482418298721313) (1617,1.9461575746536255) (1262,1.875339150428772) (899,1.8496500253677368) (903,1.811294436454773) (3753,1.805923581123352)
