userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
0: (15,9.564868927001953)* (265,7.842133522033691) (11,7.7507147789001465)* (48,7.692915439605713)* (276,7.542703151702881) (215,7.536496162414551) (324,7.4392218589782715) (53,7.2664008140563965)* (170,7.199534893035889)* (300,7.1163434982299805) (279,7.032366752624512) (674,6.946537017822266) (107,6.810775279998779)* (169,6.754537582397461)* (203,6.595279693603516) (262,6.584053993225098) (1187,6.4734086990356445) (371,6.444366455078125) (632,6.346616268157959) (661,6.319310188293457)
15: (60,11.494368553161621)* (522,11.491050720214844) (399,10.948312759399414) (529,10.665714263916016)* (102,10.108588218688965)* (400,9.942154884338379) (453,9.796794891357422)* (7288,9.567390441894531) (647,9.546677589416504) (3326,9.442813873291016) (344,9.3263578414917)* (139,9.299362182617188)* (1573,9.279994010925293)* (124,9.277935981750488) (3319,9.20468521118164) (203,9.147289276123047)* (1380,8.93071174621582)* (1914,8.854021072387695) (3152,8.803279876708984) (698,8.787626266479492)
16: (3875,4.242722034454346) (2673,4.195007801055908) (1915,4.086528778076172) (12123,4.064000606536865) (3374,3.9722495079040527) (6158,3.8293521404266357) (2957,3.784670829772949) (2081,3.7033917903900146) (3719,3.6878364086151123) (4530,3.6692609786987305) (789,3.6328301429748535) (561,3.6321399211883545) (2862,3.61663818359375) (9238,3.593324661254883) (4553,3.5888566970825195) (89,3.576632261276245) (34356,3.5713441371917725) (752,3.555987596511841) (9279,3.5318443775177) (3893,3.530810594558716)
17: (116,10.590923309326172)* (143,10.440438270568848)* (161,9.591386795043945)* (1278,9.570871353149414)* (688,8.937305450439453) (85,8.734583854675293) (404,8.734529495239258)* (1260,8.598533630371094) (419,8.523359298706055) (889,8.520891189575195) (1368,8.504342079162598)* (427,8.466215133666992) (104,8.400352478027344)* (899,8.379096984863281)* (864,8.311141014099121) (541,8.236029624938965)* (512,8.177509307861328) (68,8.176858901977539)* (3307,8.155115127563477) (1072,8.082910537719727)
18: (173,9.776500701904297)* (632,9.762184143066406)* (203,9.635709762573242)* (106,9.504722595214844)* (159,9.49533462524414)* (818,9.052072525024414)* (135,8.942960739135742) (136,8.82373046875) (344,8.75089168548584)* (48,8.749576568603516) (1336,8.644573211669922) (207,8.399831771850586)* (404,8.362422943115234) (363,8.28370475769043) (366,8.20647144317627)* (717,8.14328384399414) (669,8.125008583068848) (1202,8.113656997680664)* (1260,8.04158878326416) (1281,8.023378372192383)*
19: (2322,9.319570541381836)* (14,8.984386444091797)* (274,8.961368560791016) (2428,8.803559303283691)* (2844,8.369060516357422) (4797,8.228859901428223) (2423,8.116042137145996)* (3448,8.091939926147461) (22044,8.039668083190918) (11912,7.787800312042236) (6254,7.654570579528809) (6546,7.641946792602539) (6601,7.623237609863281) (9157,7.603067398071289) (5993,7.580057144165039) (6541,7.578262805938721) (355,7.559495449066162) (15,7.493138313293457) (103,7.491982460021973) (895,7.367870330810547)
20: (4,6.715244293212891) (1279,6.625709533691406)* (8,6.085484504699707)* (161,5.469595909118652) (136,5.3400187492370605) (147,5.250851154327393)* (2627,5.205214023590088) (167,5.108116149902344) (986,5.080508232116699)* (210,5.028923988342285) (298,4.864589214324951) (366,4.8562517166137695) (48,4.718682765960693) (139,4.708878040313721) (701,4.694766998291016) (131,4.637321949005127) (222,4.565569877624512) (178,4.557217597961426) (159,4.486546516418457)* (134,4.426984786987305)
21: (88,2.4807896614074707) (990,2.373816967010498) (85,2.3104710578918457) (570,2.2604992389678955) (252,2.2180423736572266) (520,2.21181583404541) (1260,2.173550605773926) (94,2.1501498222351074) (87,2.132786750793457) (153,2.078197717666626) (81,2.0699872970581055) (404,2.0187978744506836) (1993,2.016477108001709) (1061,1.9974803924560547) (2082,1.9849132299423218) (18,1.9772560596466064) (248,1.9766050577163696) (707,1.9712514877319336) (1187,1.9657926559448242) (4055,1.9646539688110352)
22: (15,2.723076343536377) (167,2.298152446746826) (419,2.2816340923309326) (324,2.193547248840332) (707,2.079932928085327) (173,2.0686092376708984) (1518,2.0339393615722656) (592,1.9686189889907837) (1813,1.9490127563476562) (414,1.9363501071929932) (1988,1.915519118309021) (101,1.8859245777130127) (1062,1.8852205276489258) (692,1.8794320821762085) (81,1.8754075765609741) (560,1.8741471767425537) (363,1.8631278276443481) (371,1.863034963607788) (207,1.8409916162490845) (130,1.83951735496521)
24: (174,9.428975105285645) (87,9.313451766967773)* (300,9.283123016357422)* (15,9.243675231933594)* (89,8.954822540283203) (122,8.845749855041504) (123,8.719467163085938) (263,8.646652221679688) (1224,8.433688163757324) (337,8.345840454101562) (287,8.335119247436523)* (135,8.109352111816406)* (73,8.071188926696777)* (387,8.060483932495117) (20672,8.029498100280762) (404,7.904124736785889) (670,7.715192794799805) (16,7.676462173461914) (86,7.6259379386901855) (1192,7.608055114746094)
25: (15,6.710659027099609) (721,6.511409759521484) (215,6.509032726287842) (0,6.123872756958008) (324,6.0629682540893555) (366,5.905433654785156) (162,5.868110179901123) (364,5.617731094360352) (717,5.309364318847656) (1202,5.307053565979004) (210,5.219605445861816) (1281,5.181552886962891) (8,5.180534362792969) (11,5.091756343841553) (226,5.0691704750061035) (674,5.051665306091309) (421,5.020324230194092) (1336,5.0092620849609375) (48,4.981417179107666) (4,4.906681060791016)
26: (592,5.208132743835449) (185,5.111184120178223) (806,4.906288146972656)* (2779,4.686287879943848) (3280,4.580496788024902) (575,4.566707611083984) (560,4.434844493865967) (2997,4.377309799194336) (2096,4.303383827209473) (20688,4.297972679138184) (932,4.273141384124756) (642,4.175388813018799) (1062,4.118481636047363) (802,4.090409278869629)* (190,4.04710054397583) (2956,3.9929375648498535) (519,3.955543279647827)* (493,3.90344500541687) (1116,3.874147415161133) (625,3.8450498580932617)*
27: (1192,10.791048049926758)* (1273,10.498176574707031)* (764,9.658524513244629)* (519,9.63749885559082) (907,9.43868350982666)* (167,9.412528038024902) (414,9.167152404785156) (823,9.126760482788086)* (173,8.79802417755127) (3024,8.782605171203613) (802,8.748247146606445)* (89,8.616214752197266)* (922,8.598154067993164) (170,8.546178817749023) (2761,8.402668952941895) (2828,8.351887702941895) (107,8.269968032836914) (369,8.165358543395996) (862,8.118532180786133)* (169,8.078765869140625)
28: (167,5.905879020690918) (81,5.381794452667236) (364,5.055209159851074) (226,4.855947494506836) (721,4.846004009246826) (810,4.736069202423096) (173,4.733664512634277) (139,4.687560081481934) (363,4.647027969360352) (324,4.604067802429199) (142,4.474785327911377) (215,4.447135925292969) (669,4.442737579345703) (0,4.435284614562988) (162,4.343489646911621) (421,4.3178863525390625) (2148,4.314913749694824) (207,4.303784370422363) (48,4.292064189910889) (385,4.25253963470459)
29: (17,4.895517349243164) (366,4.480903625488281) (11,4.236884117126465) (168,4.129683494567871) (215,3.9062421321868896) (15,3.877251386642456) (324,3.6937851905822754) (354,3.6320462226867676) (18366,3.5919418334960938) (367,3.584061622619629) (300,3.532489776611328) (674,3.527724027633667) (18,3.4410037994384766) (173,3.421137809753418) (1374,3.4142723083496094) (3033,3.3946118354797363)* (922,3.370198965072632) (1368,3.362527370452881) (322,3.3564794063568115) (113,3.3497226238250732)
30: (855,8.094954490661621) (2828,7.847364902496338) (898,7.074935436248779) (2055,6.908843994140625) (102,6.837994575500488) (910,6.8251118659973145) (1248,6.804643630981445)* (108,6.666611671447754) (94,6.588061332702637) (498,6.502686500549316) (1215,6.492817401885986) (116,6.470843315124512)* (501,6.451186180114746) (1386,6.428039073944092)* (95,6.38671875) (747,6.374462604522705) (983,6.316458702087402) (3307,6.2968292236328125) (423,6.27854061126709) (707,6.252948760986328)
31: (15,2.351248025894165) (4,2.3265018463134766) (434,2.1878890991210938) (167,2.160834789276123) (345,2.0282657146453857) (136,2.004713535308838) (131,1.970829963684082) (48,1.9240455627441406) (130,1.8376100063323975) (342,1.836395502090454) (312,1.8290375471115112) (67,1.812496304512024)* (493,1.8110028505325317) (1814,1.787118673324585) (329,1.7146875858306885) (168,1.7135217189788818) (419,1.6610090732574463) (11,1.613852620124817) (560,1.6088619232177734) (159,1.5912277698516846)
32: (592,8.556282043457031) (625,8.068851470947266) (640,7.689933776855469) (2137,7.535368919372559) (642,7.345942974090576) (806,7.341137886047363) (2814,7.079526424407959) (649,6.9145355224609375) (2609,6.896701812744141) (1093,6.79832649230957) (2143,6.783430099487305) (1144,6.757209777832031) (185,6.754079818725586) (942,6.721884727478027) (628,6.651226043701172) (200,6.595542907714844) (2120,6.515026569366455) (650,6.500429630279541) (618,6.483226299285889) (3114,6.481459617614746)
33: (167,2.8853304386138916) (364,2.8629047870635986) (0,2.853820323944092) (15,2.780825614929199) (6,2.724782705307007)* (810,2.676821708679199) (139,2.645608425140381) (2148,2.59767746925354) (215,2.594064950942993) (421,2.546009063720703) (721,2.5156521797180176) (226,2.509678363800049) (203,2.4899020195007324) (324,2.4826231002807617) (211,2.4783782958984375) (162,2.4654197692871094) (222,2.434497117996216) (142,2.4331116676330566) (219,2.43123722076416) (385,2.4291152954101562)
34: (15,7.206475257873535) (592,6.495547771453857)* (130,5.661136150360107)* (512,5.468890190124512) (215,5.442377090454102) (159,5.402232646942139) (707,5.345978736877441) (67,5.271306037902832) (48,5.010165691375732) (324,4.922436714172363) (17,4.838308334350586)* (364,4.763153076171875) (4,4.7499284744262695) (1144,4.7301344871521) (674,4.6933274269104) (721,4.676888465881348) (162,4.673944473266602) (366,4.602492332458496) (139,4.56411600112915)* (170,4.546837329864502)
35: (167,9.275896072387695) (519,8.852897644042969) (185,8.654404640197754)* (116,8.168183326721191)* (134,8.079479217529297) (1278,8.065774917602539)* (1305,7.874826431274414)* (67,7.630613803863525) (486,7.5790815353393555)* (89,7.514449119567871) (1626,7.470851898193359)* (707,7.417393684387207) (539,7.393253326416016) (143,7.3700714111328125) (81,7.359519958496094)* (541,7.346160888671875)* (71,7.309223175048828) (625,7.167659759521484)* (87,7.151193141937256) (131,7.10927152633667)
36: (575,2.949228286743164)* (592,2.8866214752197266) (625,2.8596858978271484) (802,2.849053382873535) (941,2.7478408813476562) (932,2.705254077911377) (2096,2.6962902545928955) (190,2.6599175930023193) (200,2.5450234413146973) (1780,2.533799648284912) (178,2.5205671787261963) (2997,2.5150821208953857) (172,2.4957163333892822) (649,2.4940481185913086) (1091,2.475080966949463) (660,2.4472479820251465) (2779,2.4412288665771484) (2790,2.4372873306274414) (626,2.3585050106048584) (594,2.3529107570648193)
38: (15,12.144756317138672) (302,9.777515411376953) (113,9.728949546813965) (366,9.618692398071289) (67,9.459428787231445) (312,9.445595741271973) (674,9.021100997924805) (82,8.819144248962402)* (115,8.497690200805664) (18,8.399888038635254) (158,8.391239166259766) (354,8.315177917480469) (174,8.306396484375) (367,8.304300308227539) (374,8.036474227905273) (211,7.871072292327881) (210,7.866160869598389)* (156,7.777920722961426) (360,7.712597846984863)* (1279,7.655346393585205)*
39: (0,3.0727593898773193) (364,3.0519371032714844) (721,3.048309803009033) (81,2.9466376304626465) (413,2.9260473251342773) (722,2.887755870819092) (810,2.7665863037109375) (2148,2.7376904487609863) (421,2.722318649291992) (94,2.6965537071228027) (668,2.657111644744873) (11,2.643760919570923) (1289,2.630087375640869) (1196,2.61057448387146) (219,2.6064677238464355) (1281,2.5891294479370117) (1336,2.567720651626587) (215,2.5609593391418457) (746,2.543560743331909) (226,2.5428712368011475)
40: (592,4.871232032775879) (2609,4.7898969650268555) (642,4.624220848083496) (2120,4.323777198791504) (1790,4.270497798919678) (3655,4.264115333557129) (185,4.112048625946045) (1144,4.082334041595459) (166,4.0385541915893555) (546,3.974308967590332) (2114,3.9243321418762207) (3270,3.909543514251709) (2814,3.8866348266601562) (560,3.8764069080352783) (941,3.77199649810791) (1303,3.742358684539795) (640,3.734849214553833) (1629,3.5085501670837402) (3346,3.4827442169189453) (2082,3.4243786334991455)
41: (185,3.460428237915039) (592,3.371513843536377) (560,3.032590866088867) (512,2.554091453552246) (136,2.5491456985473633) (15,2.1949522495269775) (806,2.160529136657715) (2609,2.125478982925415) (1063,2.0831117630004883) (625,2.0274124145507812) (642,2.0026090145111084) (493,1.9675371646881104) (2114,1.952547550201416) (941,1.952172040939331) (575,1.9382740259170532) (519,1.892922043800354) (2997,1.8744633197784424) (932,1.8704389333724976) (67,1.8654730319976807) (130,1.8574694395065308)
42: (1988,8.428733825683594) (560,8.324918746948242) (329,6.705839157104492) (2868,6.699555397033691) (345,6.671226501464844) (185,6.235023021697998) (313,6.027004241943359) (1259,6.025299072265625) (4715,5.9850335121154785) (1279,5.971865653991699) (688,5.882445335388184) (1813,5.8619065284729) (9407,5.7460761070251465) (1871,5.738773345947266) (166,5.687306880950928) (1144,5.673476219177246) (864,5.6061811447143555) (1972,5.589757919311523) (896,5.553879261016846) (681,5.547727108001709)
43: (312,9.911524772644043)* (54,9.022825241088867) (131,8.924140930175781) (247,8.803624153137207) (72,8.610990524291992)* (1321,8.417096138000488)* (3,8.069503784179688) (158,8.013189315795898) (1812,7.861594200134277) (439,7.641054153442383) (142,7.615168571472168)* (3445,7.567747116088867)* (4468,7.454283714294434) (1277,7.433140754699707)* (2147,7.25334358215332) (351,7.213370323181152) (1279,7.191512107849121)* (113,7.171685695648193) (340,7.166928291320801)* (211,7.141535758972168)
47: (592,11.53773307800293) (575,9.634897232055664)* (707,9.505136489868164) (130,9.367210388183594) (1144,9.326322555541992) (520,9.078727722167969)* (806,8.577360153198242) (166,8.352091789245605)* (324,8.203598022460938)* (906,8.174589157104492) (1058,8.079872131347656) (1267,7.9407958984375) (190,7.902937412261963) (913,7.671118259429932)* (628,7.626060962677002) (559,7.575634002685547) (570,7.534007549285889) (173,7.51163387298584)* (135,7.509286880493164)* (1055,7.474004745483398)
48: (168,5.641959190368652) (279,5.317206859588623) (167,5.304559707641602) (135,5.217205047607422)* (661,5.145820140838623) (159,5.118838310241699) (16,5.11281681060791) (174,5.016865253448486) (54,5.013660907745361) (215,5.013145446777344) (113,4.98844051361084) (173,4.951414108276367) (265,4.9086480140686035) (131,4.79280424118042) (262,4.705671787261963) (9,4.697483539581299) (17,4.561415672302246) (69,4.399994850158691) (354,4.364009857177734) (107,4.326179504394531)
49: (167,5.507012844085693)* (324,5.318359375) (35,4.933833122253418) (139,4.712306976318359) (440,4.706567764282227) (101,4.648982048034668) (385,4.444080829620361) (173,4.352076530456543) (371,4.203875541687012) (67,4.18214750289917) (34,4.053803443908691) (538,4.050841808319092) (481,4.026081085205078) (205,4.025296211242676) (632,4.014037132263184) (81,4.013030052185059) (169,3.998814582824707) (366,3.9987449645996094) (162,3.961569309234619) (6,3.9310731887817383)
51: (592,7.5037970542907715) (560,7.492502212524414) (130,7.1742753982543945)* (1144,6.958586692810059) (707,6.60600471496582)* (147,6.454145431518555) (1063,6.103309631347656) (153,5.956026077270508) (67,5.777360916137695) (493,5.590763092041016) (324,5.542933464050293) (539,5.528565406799316) (1267,5.487902641296387) (1027,5.482437610626221) (159,5.4297919273376465)* (139,5.40830135345459) (875,5.362112045288086) (87,5.354766845703125) (85,5.3247880935668945) (1242,5.310956954956055)
52: (147,6.293729782104492) (1790,6.243730068206787) (2137,6.064042091369629) (3347,5.62461519241333)* (20688,5.5850934982299805) (1091,5.448202133178711) (2956,5.42479133605957) (4,5.404094219207764) (896,5.277352333068848) (434,5.192708969116211) (1144,5.162265300750732)* (1294,4.981188774108887)* (1297,4.954557418823242) (1814,4.913607597351074) (2779,4.899730205535889) (3310,4.8603949546813965) (1052,4.814817905426025) (1072,4.811768531799316) (1813,4.758654594421387) (342,4.744002819061279)
53: (48,3.331549644470215) (131,2.86122465133667) (72,2.7278809547424316) (115,2.7234692573547363) (18,2.6991846561431885) (661,2.6340818405151367) (15,2.632690906524658) (11,2.574230670928955) (168,2.517212390899658) (159,2.3883285522460938) (4,2.378692626953125) (174,2.3680052757263184) (276,2.351801872253418) (9,2.3469836711883545) (1279,2.3434605598449707) (54,2.3365933895111084) (952,2.296442747116089) (2328,2.2671010494232178) (434,2.2668111324310303) (312,2.2278480529785156)
54: (592,6.083202838897705) (1180,5.667843818664551) (1894,5.438434600830078) (806,5.426125526428223) (2328,5.39552116394043) (185,5.265069007873535) (3977,5.144274711608887)* (952,4.977985382080078) (3347,4.883864879608154) (20688,4.8224029541015625) (640,4.700543403625488) (312,4.674510955810547) (242,4.6722846031188965) (625,4.601873874664307) (2997,4.600051403045654) (808,4.566381931304932)* (2609,4.565850257873535) (269,4.553091526031494) (1091,4.504538536071777) (2862,4.493589401245117)
57: (512,1.5046143531799316) (1273,1.368952751159668) (136,1.3319764137268066) (707,1.3160080909729004) (147,1.2699546813964844) (2069,1.2584750652313232) (519,1.251173973083496) (560,1.2408101558685303) (592,1.1726181507110596) (130,1.1507112979888916) (915,1.1397403478622437) (185,1.1148607730865479) (520,1.1072578430175781) (164,1.0762264728546143) (904,1.070080041885376) (153,1.0549466609954834) (2066,1.0352134704589844) (1144,1.030195713043213) (166,1.0228339433670044) (906,0.9981403350830078)
58: (911,12.490598678588867) (3204,12.27597427368164) (2066,11.89986515045166) (1790,11.712818145751953)* (1267,10.74235725402832)* (520,10.64177131652832)* (498,9.920242309570312) (1058,9.591611862182617) (1759,9.49113941192627) (2484,9.094560623168945) (904,8.935907363891602) (166,8.798154830932617)* (1495,8.564338684082031) (1116,8.475822448730469) (889,8.424156188964844)* (1273,8.37219524383545) (1172,8.143199920654297) (2502,8.076871871948242) (855,7.955646514892578) (1260,7.902227878570557)
59: (364,8.417842864990234)* (0,8.144146919250488)* (324,7.3883209228515625)* (4,7.357247829437256)* (215,7.281028747558594) (67,7.1085920333862305) (136,6.87428092956543) (130,6.852054595947266) (170,6.680283546447754)* (440,6.532863616943359) (419,6.530186653137207) (669,6.437918663024902) (707,6.434151649475098) (207,6.361483097076416) (142,6.322047710418701) (135,6.2423810958862305)* (222,6.23812198638916) (986,6.202268600463867)* (592,6.102965354919434) (17,6.09779691696167)*
60: (133,8.389312744140625)* (81,8.374202728271484)* (162,8.285994529724121) (628,8.108013153076172) (364,8.05627727508545) (4,8.019658088684082) (626,7.880155563354492) (1091,7.834140777587891) (674,7.766329765319824) (642,7.761848449707031) (324,7.722659587860107) (11,7.700530529022217) (520,7.684157371520996)* (190,7.682671070098877) (44,7.58756685256958) (3266,7.551402568817139) (123,7.541534423828125)* (116,7.537498474121094) (153,7.529152870178223) (169,7.491395950317383)
61: (207,10.379215240478516) (205,10.276089668273926)* (1392,10.170921325683594) (222,10.151769638061523)* (1449,9.598921775817871) (8,9.574487686157227) (986,9.326950073242188) (2119,9.270306587219238) (1195,9.233736038208008)* (6,9.16647720336914) (161,9.159573554992676)* (5,9.119455337524414) (440,9.014180183410645)* (210,8.854938507080078)* (2,8.76571273803711) (373,8.689291000366211) (721,8.66018295288086)* (818,8.64706039428711)* (2101,8.603025436401367) (981,8.556354522705078)
63: (2220,4.129159927368164) (906,3.8396012783050537) (1116,3.787893056869507) (575,3.6803553104400635) (842,3.670947790145874) (240,3.6598706245422363) (1273,3.5576345920562744) (1062,3.518369674682617) (512,3.5015082359313965) (862,3.4456825256347656) (670,3.366511821746826) (493,3.1485395431518555) (174,3.1388607025146484) (1187,3.113943099975586) (87,3.0919692516326904) (1813,3.0771701335906982) (3767,3.0680103302001953) (523,3.0253047943115234) (189,3.014453887939453) (72,2.9563660621643066)
64: (906,5.727719783782959) (1273,5.3323469161987305)* (1773,4.428068161010742) (512,4.3837666511535645)* (2199,4.365240097045898) (897,4.182859897613525) (2761,4.1501569747924805) (1134,3.947659969329834) (1062,3.9444615840911865)* (908,3.9432215690612793) (589,3.9236555099487305) (2713,3.9168975353240967) (3381,3.9151875972747803) (2738,3.892200469970703) (2975,3.8268752098083496) (802,3.8050363063812256) (2191,3.777426242828369) (7069,3.762481689453125) (4417,3.7500064373016357) (2762,3.7222323417663574)
65: (3245,8.67809009552002) (1192,8.304152488708496) (1140,8.170125961303711) (1186,7.918418884277344) (2220,7.88253116607666) (1305,7.874327659606934) (20688,7.665308952331543) (2956,7.442562580108643) (1147,7.3056793212890625) (3201,7.296842098236084) (2673,7.156741142272949)* (2328,7.144211769104004) (1004,7.091179370880127) (3347,7.037830829620361) (2929,6.980977535247803) (3767,6.975172996520996) (2899,6.964702606201172) (1746,6.9436445236206055)* (1116,6.910131454467773) (561,6.897150993347168)
