userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
0: (15,9.260698318481445)* (265,7.40818452835083) (11,7.243408203125)* (324,7.1678900718688965) (215,7.024662017822266) (48,7.00746488571167)* (170,6.78004264831543)* (53,6.7480974197387695)* (276,6.73099422454834) (300,6.5774736404418945) (674,6.513030529022217) (279,6.449097633361816) (169,6.3520097732543945)* (107,6.321380615234375)* (371,6.212302207946777) (1187,6.1766357421875) (203,6.117630958557129) (262,6.080989837646484) (632,5.9167585372924805) (440,5.913481712341309)
11: (15,8.410194396972656) (106,7.5351643562316895) (1187,7.104699611663818)* (875,6.908652305603027)* (419,6.803548336029053) (889,6.748655319213867) (11,6.736367225646973) (1267,6.626948356628418)* (67,6.617400169372559) (116,6.605450630187988) (404,6.570566177368164) (519,6.5356764793396) (493,6.526371002197266) (324,6.458110809326172) (1273,6.430404186248779)* (1027,6.372142791748047) (818,6.362937927246094)* (394,6.355691909790039)* (17,6.325547218322754) (164,6.181315898895264)
12: (18,5.211203098297119) (360,4.703728199005127) (2862,4.633772850036621) (11,4.58818244934082) (382,4.499103546142578) (72,4.451667308807373) (1246,4.412083148956299) (88,4.344139575958252) (952,4.261104106903076) (9,4.196628570556641) (142,4.109214782714844) (81,4.006285667419434) (689,4.006222724914551) (17,3.99381947517395) (269,3.9371604919433594) (167,3.864689826965332) (48,3.8257460594177246) (248,3.823763132095337) (2864,3.805284023284912) (493,3.791090726852417)
13: (167,8.333038330078125) (632,6.850541591644287)* (674,6.618173599243164)* (101,6.613801002502441) (173,6.549814224243164) (210,6.443047523498535) (5,6.4228949546813965) (215,6.376255512237549) (385,6.342399597167969) (48,6.193564414978027)* (113,6.132353782653809) (11,6.077651023864746) (371,6.015048980712891) (67,5.997933387756348) (222,5.9743804931640625)* (168,5.893072605133057) (922,5.857553482055664) (0,5.840531826019287) (414,5.761959552764893) (107,5.750720024108887)*
14: (15,2.2793021202087402) (167,2.0893263816833496) (139,1.8604183197021484) (185,1.859917402267456) (159,1.754327416419983) (366,1.6559617519378662) (1063,1.6470062732696533) (324,1.630526065826416) (48,1.628591537475586) (371,1.6081267595291138) (67,1.5782451629638672) (101,1.5652837753295898) (1242,1.5539004802703857) (162,1.5531702041625977) (674,1.5513889789581299) (34,1.5463674068450928) (519,1.5417773723602295) (215,1.5354411602020264) (107,1.5298616886138916) (1195,1.5264809131622314)
15: (60,11.388374328613281)* (522,11.155107498168945) (399,11.002097129821777) (529,10.384529113769531)* (102,10.20114517211914)* (344,10.004860877990723)* (400,9.806891441345215) (453,9.627264976501465)* (203,9.614328384399414)* (647,9.601341247558594) (148,9.541000366210938)* (1573,9.46117115020752)* (7288,9.334432601928711) (139,9.297836303710938)* (3326,9.258363723754883) (1914,9.227951049804688) (124,9.132878303527832) (1238,9.01669692993164) (576,8.999277114868164)* (3319,8.96518325805664)
16: (12123,4.569807052612305) (1915,4.474752426147461) (2673,4.048427104949951) (3374,4.0009765625) (3875,3.9931230545043945) (3873,3.988034725189209) (6158,3.8900814056396484) (3893,3.7599658966064453) (2908,3.725846767425537) (1294,3.642940044403076) (4530,3.6322808265686035) (561,3.58880615234375) (2862,3.5783565044403076) (789,3.566039800643921) (560,3.558137893676758) (2656,3.541351556777954) (5050,3.5288166999816895) (9238,3.4596447944641113) (2069,3.446047306060791) (6348,3.435845375061035)
17: (116,9.5769681930542)* (143,9.452314376831055)* (161,8.994236946105957)* (1278,8.915155410766602)* (404,8.506088256835938)* (688,8.31727123260498) (864,8.240320205688477) (1072,8.088462829589844) (210,7.938988208770752)* (889,7.86476993560791) (1260,7.846909523010254) (541,7.775269508361816)* (419,7.7724409103393555) (85,7.712188720703125) (104,7.692911624908447)* (2170,7.660671234130859) (427,7.608541965484619) (68,7.604804992675781)* (1392,7.558956146240234)* (899,7.545034885406494)*
18: (173,9.156049728393555)* (159,9.031656265258789)* (632,8.884568214416504)* (106,8.790311813354492)* (203,8.788143157958984)* (136,8.448787689208984) (818,8.383423805236816)* (48,8.370500564575195) (135,8.33869457244873) (1336,7.979978084564209) (363,7.9267258644104) (344,7.903819561004639)* (207,7.814904689788818)* (366,7.773946762084961)* (404,7.69926643371582) (669,7.688299655914307) (168,7.664878845214844)* (1202,7.661177158355713)* (717,7.562198638916016) (371,7.428881645202637)
19: (2428,9.528997421264648)* (2322,9.236190795898438)* (274,9.234424591064453) (14,9.046977996826172)* (22044,8.998269081115723) (4797,8.868982315063477) (2423,8.616432189941406)* (2844,8.566887855529785) (848,8.45274543762207)* (3448,8.296002388000488) (6254,8.195000648498535) (355,8.045741081237793) (6601,7.852286338806152) (6541,7.844770431518555) (6546,7.814599990844727) (1771,7.770199298858643) (895,7.649693489074707) (3059,7.624713897705078) (9157,7.612313270568848) (3519,7.54380989074707)
20: (4,6.1715593338012695) (1279,6.007603645324707)* (8,5.504714012145996)* (167,5.13530158996582) (161,5.01392126083374) (136,4.971075534820557) (147,4.764224529266357)* (366,4.706991195678711) (210,4.633974075317383) (2627,4.629425525665283) (986,4.603976726531982)* (298,4.522215843200684) (48,4.473476886749268) (131,4.427699089050293) (701,4.394515037536621) (139,4.370116233825684) (159,4.307595252990723)* (222,4.255946159362793) (215,4.140152454376221) (324,4.089146614074707)
21: (88,2.024801731109619) (85,1.9501028060913086) (990,1.9477672576904297) (15,1.9322774410247803) (520,1.8714585304260254) (81,1.868882656097412) (2082,1.823278784751892) (252,1.8069956302642822) (1260,1.803137183189392) (404,1.801374912261963) (1993,1.7972402572631836) (592,1.7917770147323608)* (87,1.763087511062622) (425,1.715202808380127) (1061,1.7137458324432373) (153,1.7076189517974854) (94,1.6876506805419922) (3151,1.6535325050354004) (570,1.6501091718673706) (4055,1.6247670650482178)
22: (15,2.5891802310943604) (167,2.1862220764160156) (419,2.09891414642334) (324,2.071463108062744) (173,1.9157413244247437) (707,1.8907357454299927) (1813,1.7484853267669678) (81,1.743795394897461) (1518,1.7303862571716309) (130,1.7288058996200562) (414,1.7127346992492676) (686,1.7006381750106812) (371,1.696082592010498) (162,1.693428635597229) (68,1.6865569353103638) (71,1.6847543716430664) (363,1.682723045349121) (101,1.682055115699768) (440,1.6788979768753052) (366,1.668007493019104)
24: (174,8.838371276855469) (300,8.569608688354492)* (89,8.534971237182617) (87,8.480973243713379)* (287,8.183934211730957)* (1224,8.142912864685059) (122,8.130229949951172) (337,8.004069328308105) (20672,7.918182849884033) (15,7.894561767578125)* (387,7.861164093017578) (263,7.814035415649414) (135,7.80430793762207)* (123,7.708833694458008) (404,7.567178249359131) (670,7.555785655975342) (1022,7.417895793914795) (73,7.297586441040039)* (1192,7.270792484283447) (16,7.183778762817383)
25: (15,6.470462799072266) (721,6.017626762390137) (324,5.929320812225342) (215,5.779205322265625) (0,5.5548014640808105) (366,5.496238708496094) (162,5.359250068664551) (364,5.312610626220703) (210,5.115438461303711) (717,5.061089515686035) (11,5.0246782302856445) (8,5.013355255126953) (1202,5.003383159637451) (674,4.812695026397705) (4,4.789393901824951) (1336,4.740321159362793) (716,4.700883388519287) (48,4.659669876098633) (226,4.651816368103027) (67,4.644256591796875)
26: (592,4.766104221343994) (185,4.683895111083984) (806,4.493966102600098)* (2779,4.347722053527832) (575,4.1392693519592285) (560,4.100589752197266) (3280,4.09780216217041) (932,3.9840335845947266) (2997,3.956871271133423) (2096,3.873856544494629) (1062,3.779303789138794) (20688,3.7509944438934326) (642,3.713059425354004) (190,3.687985420227051) (802,3.6296567916870117)* (493,3.5816586017608643) (2956,3.57914137840271) (519,3.5650057792663574)* (178,3.555272340774536) (625,3.546708583831787)*
27: (1192,10.067596435546875)* (1273,10.046993255615234)* (519,9.311574935913086) (907,8.934381484985352)* (414,8.89369010925293) (764,8.781676292419434)* (823,8.649256706237793)* (3024,8.286462783813477) (802,8.234301567077637)* (173,8.217813491821289) (167,8.172075271606445) (922,7.927018165588379) (369,7.923735618591309) (89,7.915744781494141)* (169,7.8869171142578125) (862,7.886624336242676)* (2761,7.823513031005859) (2828,7.751735687255859) (107,7.722489833831787) (170,7.67843770980835)
28: (167,5.5182390213012695) (364,4.8086419105529785) (81,4.749570846557617) (721,4.498047828674316) (324,4.425477027893066) (226,4.320106029510498) (173,4.295604705810547) (139,4.214310646057129) (810,4.2083916664123535) (142,4.161434173583984) (0,4.1536478996276855) (669,4.143770217895508) (162,4.105757236480713) (421,4.016845226287842) (207,4.003885269165039) (215,3.98954701423645) (2148,3.9757375717163086) (363,3.936227798461914) (48,3.9095611572265625) (385,3.8723018169403076)
29: (17,4.451026439666748) (11,3.985866069793701) (366,3.8738386631011963) (168,3.7809505462646484) (15,3.7741539478302) (215,3.6362617015838623) (324,3.457822561264038) (18366,3.425687313079834) (367,3.36159086227417) (354,3.282196044921875) (113,3.262866258621216) (922,3.24515438079834) (300,3.237671375274658) (18,3.200390100479126) (674,3.1997432708740234) (1374,3.1726455688476562) (322,3.1426610946655273) (3033,3.1267642974853516)* (173,3.1029467582702637) (50,3.098499298095703)
30: (2828,7.155170440673828) (855,7.147596836090088) (898,6.541029453277588) (2055,6.410529613494873) (116,6.360076904296875)* (1248,6.346073150634766)* (910,6.235361576080322) (498,6.23447322845459) (94,6.093082427978516) (95,6.089850902557373) (102,6.0460357666015625) (707,6.04530143737793) (983,5.964461803436279) (501,5.910483360290527) (81,5.876764297485352)* (4055,5.865503311157227) (889,5.846426963806152) (1215,5.826111316680908) (747,5.824361801147461) (108,5.812996864318848)
31: (15,2.2422075271606445) (4,2.1027488708496094) (167,1.9703353643417358) (434,1.9263418912887573) (136,1.832114815711975) (345,1.820129156112671) (131,1.7593880891799927) (130,1.7401459217071533) (48,1.7211031913757324) (493,1.6586339473724365) (67,1.6567081212997437)* (342,1.6546916961669922) (312,1.6471147537231445) (1814,1.60593581199646) (560,1.55245840549469) (168,1.5394749641418457) (329,1.5393120050430298) (159,1.514894962310791) (11,1.504836082458496) (419,1.500253438949585)
32: (592,7.94736385345459) (625,7.356147766113281) (2137,7.009156703948975) (640,7.0089521408081055) (806,6.934102535247803) (642,6.803191184997559) (2814,6.578906059265137) (1144,6.356649398803711) (1093,6.344594955444336) (649,6.33297872543335) (942,6.301586151123047) (2143,6.273766040802002) (200,6.240322589874268) (618,6.1909589767456055) (628,6.1790852546691895) (1098,6.156954765319824) (1095,6.121819496154785) (185,6.108320236206055) (2609,5.946689605712891) (3114,5.924140930175781)
33: (15,2.7197554111480713) (167,2.7127437591552734) (364,2.664905548095703) (0,2.5665974617004395) (215,2.403595447540283) (324,2.352754592895508) (721,2.3505849838256836) (139,2.346909999847412) (6,2.3463053703308105)* (810,2.3443541526794434) (162,2.31284236907959) (2148,2.3041231632232666) (421,2.2907071113586426) (226,2.2698488235473633) (142,2.2363789081573486) (385,2.230248212814331) (11,2.2231554985046387) (81,2.2109923362731934) (211,2.2084474563598633) (222,2.199974298477173)
34: (15,6.799063682556152) (592,5.809206008911133)* (130,5.065983772277832)* (215,5.034550666809082) (159,5.0310869216918945) (512,4.934494495391846) (67,4.877795219421387) (707,4.742636203765869) (48,4.672458648681641) (324,4.615676403045654) (17,4.433287143707275)* (4,4.416994094848633) (364,4.414491653442383) (162,4.367473602294922) (674,4.367033958435059) (721,4.314236164093018) (366,4.3050312995910645) (1144,4.297506332397461) (170,4.265736103057861) (139,4.2360968589782715)*
35: (167,8.849796295166016) (185,8.237150192260742)* (116,7.787378311157227)* (519,7.695003509521484) (134,7.517193794250488) (1278,7.331357479095459)* (67,7.269899845123291) (707,7.268850326538086) (81,7.159701347351074)* (486,7.131325721740723)* (143,7.074135780334473) (89,6.9958882331848145) (1305,6.98844575881958)* (539,6.936511039733887) (363,6.925765037536621) (71,6.917090892791748) (625,6.867184638977051)* (87,6.833854675292969) (674,6.786500453948975) (1626,6.729587078094482)*
36: (575,2.5555238723754883)* (625,2.518242597579956) (802,2.4435787200927734) (592,2.4241509437561035) (941,2.3888306617736816) (932,2.3851981163024902) (2096,2.3434619903564453) (190,2.252772808074951) (649,2.2348880767822266) (1091,2.2311995029449463) (2997,2.198390007019043) (200,2.195133924484253) (1780,2.174363851547241) (2779,2.1604771614074707) (2790,2.150036573410034) (178,2.1425065994262695) (660,2.1154944896698) (172,2.112363815307617) (594,2.06931471824646) (626,2.0527231693267822)
38: (15,10.77963638305664) (366,8.796432495117188) (302,8.635859489440918) (113,8.581631660461426) (67,8.396073341369629) (312,8.045381546020508) (674,7.666631698608398) (18,7.43535852432251) (158,7.302534103393555) (115,7.253735542297363) (82,7.21975040435791)* (210,7.155116081237793)* (174,7.119307518005371) (367,7.116757392883301) (374,7.003825664520264) (354,6.994636535644531) (360,6.92519474029541)* (156,6.812704086303711) (298,6.710730075836182) (1202,6.694196701049805)
39: (364,2.796208381652832) (0,2.7872278690338135) (721,2.762301445007324) (81,2.671076774597168) (722,2.5471715927124023) (810,2.537965774536133) (421,2.4632487297058105) (413,2.4493300914764404) (94,2.4363625049591064) (2148,2.409759283065796) (167,2.386986494064331) (226,2.3830623626708984) (1196,2.376685619354248) (11,2.364624261856079) (1336,2.3627896308898926) (1289,2.356813907623291) (215,2.3177661895751953) (668,2.282294750213623) (219,2.278613567352295) (18,2.273758888244629)
40: (592,4.701343536376953) (2609,4.344720840454102) (642,4.1906890869140625) (2120,3.9469456672668457) (3655,3.90252685546875) (1790,3.841456890106201) (185,3.8401265144348145) (1144,3.8096213340759277) (166,3.7417540550231934) (546,3.7182888984680176) (560,3.621643543243408) (3270,3.6123013496398926) (2114,3.5915863513946533) (2814,3.4862873554229736) (1303,3.434941291809082) (640,3.43031644821167) (1629,3.288236141204834) (941,3.2842838764190674) (2116,3.2299838066101074) (2082,3.186239719390869)
41: (592,3.2384731769561768) (185,3.2292468547821045) (560,2.6809873580932617) (512,2.3377151489257812) (136,2.295929193496704) (1063,2.167428731918335) (15,2.0730042457580566) (806,2.02232027053833) (2609,1.9934775829315186) (625,1.9888722896575928) (575,1.9714336395263672) (932,1.968729019165039) (642,1.9176640510559082) (2997,1.8984107971191406) (941,1.8683230876922607) (190,1.8216609954833984) (519,1.8140671253204346) (166,1.7829467058181763) (707,1.7757080793380737) (493,1.763796329498291)
42: (1988,8.293999671936035) (560,7.29620361328125) (2868,7.080397129058838) (1259,7.05023193359375) (185,6.895343780517578) (329,6.863613128662109) (4715,6.433497428894043) (1972,6.433184623718262) (345,6.3832902908325195) (313,6.382150650024414) (688,6.215432643890381) (153,6.015669345855713) (1894,5.963567733764648) (1091,5.898324966430664) (373,5.88181209564209)* (2622,5.804173469543457) (9407,5.801043510437012) (673,5.789289951324463) (1144,5.722963809967041) (5698,5.707306861877441)
43: (312,9.083637237548828)* (131,8.215999603271484) (54,8.20140552520752) (72,8.139175415039062)* (247,8.034483909606934) (158,7.608373641967773) (1321,7.594919204711914)* (3,7.479279518127441) (142,7.44134521484375)* (3445,7.217146396636963)* (1812,7.145998477935791) (4468,7.131351470947266) (439,7.050965309143066) (2147,7.00747537612915) (1277,6.874265670776367)* (351,6.767407417297363) (211,6.657951831817627) (113,6.578574180603027) (1279,6.526276588439941)* (174,6.5258026123046875)
47: (592,10.778510093688965) (707,8.738990783691406) (575,8.709375381469727)* (1144,8.685298919677734) (130,8.66714859008789) (520,8.335820198059082)* (806,7.944850921630859) (324,7.762424468994141)* (166,7.727437973022461)* (906,7.465839385986328) (1058,7.167078971862793) (190,7.130160808563232) (1267,7.107476234436035) (173,7.0657958984375)* (913,7.059051513671875)* (87,7.052722930908203) (164,7.001090049743652) (404,6.9661478996276855) (135,6.938109397888184)* (628,6.873446941375732)
48: (168,5.122347354888916) (167,4.862773418426514) (135,4.728187561035156)* (279,4.699374198913574) (661,4.591035842895508) (159,4.568723678588867) (113,4.5360870361328125) (54,4.504887580871582) (16,4.495786190032959) (265,4.490602493286133) (215,4.489461898803711) (173,4.46602725982666) (174,4.448213577270508) (131,4.323770523071289) (9,4.237466812133789) (262,4.199953079223633) (17,4.171611785888672) (142,3.9604029655456543) (107,3.916182041168213) (324,3.8970766067504883)
49: (167,4.938767433166504)* (324,4.670375347137451) (35,4.229987144470215) (440,4.197903633117676) (139,4.0619001388549805) (101,3.9576704502105713) (385,3.944873809814453) (173,3.8556251525878906) (632,3.729707956314087) (366,3.6675214767456055) (538,3.6640372276306152) (205,3.662187099456787) (2,3.6407132148742676) (674,3.6395280361175537) (34,3.63814115524292) (6,3.6163649559020996) (162,3.594072103500366) (67,3.584821939468384) (717,3.5573925971984863) (5,3.553570032119751)
51: (560,6.926527976989746) (592,6.693911075592041) (130,6.661200523376465)* (707,6.279268264770508)* (1144,6.0469889640808105) (147,6.0185136795043945) (1063,5.6297407150268555) (153,5.572048187255859) (67,5.520252227783203) (324,5.327436447143555) (493,5.325199127197266) (159,5.247185707092285)* (364,5.210521697998047) (539,5.1563720703125) (4,5.104875087738037) (139,5.0910139083862305) (875,5.067086219787598) (87,5.011316299438477) (1267,4.99978494644165) (162,4.9713029861450195)
52: (147,5.741103172302246) (2137,5.49525260925293) (1790,5.36868953704834) (20688,5.140104293823242) (3347,5.131412506103516)* (2956,5.085873126983643) (434,4.987781524658203) (896,4.970995903015137) (4,4.910042762756348) (1144,4.859795570373535)* (1091,4.825406074523926) (1297,4.635861873626709) (2779,4.581854820251465) (1814,4.580873489379883) (1294,4.526213645935059)* (1813,4.497605800628662) (312,4.461184024810791) (1052,4.388421058654785) (1279,4.376712322235107) (3310,4.364648342132568)
53: (48,2.596407175064087) (15,2.5330300331115723) (131,2.4501163959503174) (168,2.2859838008880615) (72,2.2029550075531006) (661,2.139082431793213) (174,2.097416400909424) (11,2.0943760871887207) (18,2.091378927230835) (115,2.087822437286377) (159,2.0407474040985107) (276,2.006643772125244) (4,1.9552884101867676) (67,1.9454371929168701) (312,1.9425235986709595) (9,1.9302353858947754) (54,1.9151360988616943) (279,1.8943471908569336) (434,1.8815672397613525) (107,1.879239797592163)
54: (592,5.558847427368164) (1180,5.194755554199219) (806,5.104879379272461) (2328,4.879026889801025) (1894,4.674800395965576) (185,4.547406196594238) (3347,4.525314807891846) (312,4.477830410003662) (952,4.44514274597168) (3977,4.42405891418457)* (20688,4.217365264892578) (242,4.202855110168457) (808,4.1967267990112305)* (1091,4.1439337730407715) (640,4.128805637359619) (4096,4.100757598876953) (2997,4.100266456604004) (2862,4.024480819702148) (269,4.005402088165283) (2864,3.9929258823394775)
57: (512,1.290224313735962) (1273,1.1719173192977905) (136,1.143096685409546) (707,1.1352112293243408) (147,1.0966740846633911) (560,1.081040382385254) (2069,1.0720144510269165) (519,1.0642428398132324) (592,1.0335166454315186) (130,0.99837327003479) (915,0.9948440194129944) (185,0.9671899080276489) (520,0.9649875164031982) (904,0.9257252216339111) (153,0.9234566688537598) (164,0.92178875207901) (2066,0.9100232720375061) (166,0.8984249234199524) (15,0.8907883167266846) (906,0.8512830138206482)
58: (911,11.676251411437988) (2066,11.451194763183594) (3204,11.202342987060547) (1790,10.72011947631836)* (520,10.49457836151123)* (1267,10.43906021118164)* (498,9.45695686340332) (1759,9.150663375854492) (1058,9.032539367675781) (904,8.703575134277344) (1273,8.555179595947266) (2484,8.366935729980469) (166,8.302391052246094)* (2502,8.035197257995605) (889,8.032671928405762)* (512,8.013508796691895)* (147,7.924074649810791) (1495,7.629796504974365) (1518,7.610924243927002) (6363,7.585236549377441)
59: (364,7.836409568786621)* (0,7.613785743713379)* (324,7.021452903747559)* (215,6.978137969970703) (4,6.871678352355957)* (67,6.726045608520508) (130,6.449686527252197) (136,6.407431602478027) (170,6.290323257446289)* (669,6.148218154907227) (142,6.108804702758789) (440,6.106123924255371) (419,6.033257484436035) (222,5.927240371704102) (707,5.922267913818359) (366,5.917659759521484) (207,5.82354211807251) (986,5.8206987380981445)* (135,5.820320129394531)* (17,5.741668701171875)*
60: (81,7.791783332824707)* (162,7.730402946472168) (364,7.462714195251465) (324,7.419332504272461) (4,7.397414207458496) (11,7.357735633850098) (674,7.343998908996582) (133,7.296323299407959)* (1091,7.0922956466674805) (628,7.0905938148498535) (116,7.00468635559082) (626,6.966299533843994) (190,6.948091506958008) (520,6.946249008178711)* (265,6.915150165557861)* (123,6.9145894050598145)* (3266,6.90213680267334) (107,6.901767253875732) (153,6.870797157287598) (1224,6.766200065612793)*
61: (222,9.717283248901367)* (207,9.517499923706055) (205,9.488454818725586)* (1392,9.329395294189453) (8,9.267138481140137) (5,9.000785827636719) (6,8.938746452331543) (986,8.853729248046875) (161,8.816650390625)* (1449,8.772066116333008) (2119,8.677943229675293) (1195,8.666555404663086)* (440,8.666153907775879)* (2,8.572380065917969) (210,8.556672096252441)* (721,8.349098205566406)* (139,8.318232536315918) (373,8.299505233764648) (818,8.03776741027832)* (218,8.008586883544922)
63: (575,3.464974880218506) (2220,3.4295010566711426) (906,3.344999313354492) (1116,3.3182146549224854) (842,3.2687125205993652) (1273,3.1492018699645996) (1062,3.1404147148132324) (512,3.1090826988220215) (670,3.102008819580078) (240,2.980074405670166) (493,2.966582775115967) (1813,2.849740505218506) (136,2.808076858520508) (174,2.7564783096313477) (72,2.7496914863586426) (862,2.748671054840088) (185,2.7392847537994385) (163,2.718489408493042) (1187,2.717057704925537) (87,2.7107677459716797)
64: (906,5.132418632507324) (1273,4.869710445404053)* (897,4.177874565124512) (1062,3.9926905632019043)* (1773,3.9866437911987305) (2975,3.8350040912628174) (512,3.7522356510162354)* (2199,3.723668336868286) (2713,3.7150888442993164) (802,3.698186159133911) (589,3.657329797744751) (3381,3.5418338775634766) (908,3.5310964584350586) (2738,3.5177810192108154) (932,3.506873607635498) (182,3.499035120010376) (1134,3.4863247871398926) (2191,3.480903148651123) (2761,3.3984198570251465) (2762,3.3634233474731445)
65: (1192,9.061603546142578) (1140,8.321573257446289) (1186,8.28679370880127) (2220,8.262201309204102) (160,8.003348350524902) (3245,8.000032424926758) (2956,7.896686553955078) (20688,7.721471786499023) (561,7.48353385925293) (1004,7.461101531982422) (1746,7.331110000610352)* (827,7.311305999755859)* (3347,7.217432498931885) (1305,7.111721515655518) (3174,6.910226345062256) (2929,6.899528503417969) (1116,6.876529216766357) (2673,6.8577775955200195)* (3201,6.808106422424316) (2328,6.714179515838623)
