userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (131,7.04287576675415) (324,6.557590007781982) (374,6.557020664215088) (67,6.540916442871094) (1202,6.380517959594727) (18,6.346956729888916) (167,6.295605659484863) (1144,6.244752407073975) (823,6.103336334228516) (265,6.073156356811523) (72,6.039628028869629) (2147,6.020696640014648) (404,6.017534255981445) (50,5.994113922119141) (302,5.976400852203369) (1063,5.97012996673584) (115,5.950150012969971)* (185,5.935733318328857) (298,5.931694507598877) (107,5.893263816833496)
633: (185,9.972545623779297) (130,9.513104438781738) (560,9.405096054077148) (512,9.238419532775879) (48,9.208080291748047) (67,9.105600357055664) (265,8.971405982971191) (324,8.931838035583496) (136,8.848359107971191) (95,8.698691368103027) (147,8.690469741821289) (215,8.646875381469727) (312,8.557790756225586) (129,8.478891372680664) (135,8.475768089294434) (823,8.460786819458008) (520,8.42802619934082) (4,8.362771987915039) (404,8.322071075439453) (419,8.317255020141602)
641: (3499,13.51271915435791) (2653,12.188665390014648) (2147,12.137182235717773)* (95,11.94133472442627) (4345,11.902521133422852) (415,11.740076065063477)* (3741,11.409786224365234) (2208,11.168214797973633) (259,11.121208190917969) (1187,11.004801750183105) (2156,10.996034622192383) (2077,10.9417724609375)* (2790,10.785269737243652)* (94,10.73713493347168) (201,10.58201789855957)* (6906,10.522164344787598)* (2732,10.517147064208984)* (553,10.504142761230469) (419,10.489498138427734)* (1288,10.465008735656738)
642: (167,10.950177192687988) (15,10.569746971130371)* (722,10.420238494873047)* (388,10.25759506225586) (11,10.197687149047852)* (1826,9.938443183898926)* (704,9.830745697021484) (204,9.804231643676758) (360,9.763427734375) (632,9.7052583694458) (94,9.662012100219727) (382,9.56392765045166) (1064,9.556572914123535) (1949,9.531253814697266) (810,9.52113151550293) (669,9.509286880493164) (665,9.491881370544434) (107,9.489471435546875) (420,9.455224990844727) (444,9.447245597839355)
651: (670,9.45576286315918)* (167,9.288773536682129) (360,9.061328887939453) (189,8.905313491821289) (553,8.885649681091309)* (215,8.730945587158203) (15,8.63521671295166) (952,8.62462043762207) (823,8.517070770263672) (1281,8.451364517211914) (72,8.406344413757324) (269,8.40603256225586) (4,8.389103889465332) (276,8.388687133789062) (354,8.377018928527832) (922,8.353487014770508) (364,8.3445463180542) (174,8.301621437072754) (89,8.297029495239258) (3862,8.260444641113281)
652: (1100,13.561946868896484) (618,13.507143020629883)* (575,12.60573959350586) (1144,12.385713577270508) (539,12.318452835083008)* (913,12.139545440673828) (576,12.110111236572266)* (1099,11.799921035766602) (528,11.748437881469727)* (1062,11.72270393371582) (1224,11.668486595153809) (116,11.646893501281738)* (802,11.625492095947266) (2134,11.61450481414795)* (1094,11.517807006835938) (650,11.464750289916992) (2839,11.4622802734375) (619,11.461139678955078)* (520,11.354558944702148) (1010,11.267690658569336)
654: (1063,10.131691932678223) (130,9.868152618408203)* (1553,9.796906471252441)* (147,9.605669975280762)* (166,9.489156723022461) (539,9.438152313232422)* (136,9.292428970336914) (512,9.251380920410156)* (520,9.233335494995117) (628,9.152652740478516) (618,9.121971130371094)* (153,8.998218536376953)* (2188,8.706527709960938) (660,8.685445785522461) (1224,8.680883407592773) (200,8.674023628234863) (528,8.592595100402832) (2096,8.572332382202148) (486,8.444049835205078)* (1273,8.433055877685547)
656: (89,18.757129669189453)* (167,16.92571258544922) (4986,16.81888198852539)* (388,16.55059051513672) (2755,16.375473022460938)* (6090,16.198362350463867) (72,15.472469329833984) (6067,15.04728889465332) (421,14.903371810913086) (3750,14.492293357849121) (1323,14.159674644470215) (3709,14.134994506835938) (247,13.990477561950684) (3078,13.98533821105957) (818,13.826949119567871) (4311,13.818582534790039) (6280,13.785146713256836) (436,13.507987976074219)* (1177,13.45894718170166)* (1314,13.414376258850098)
663: (185,10.66860580444336)* (15,10.153644561767578) (147,10.050809860229492)* (167,9.188064575195312) (1144,9.14918327331543) (1278,9.114578247070312)* (166,9.102946281433105) (625,9.08584976196289)* (2609,8.947919845581055) (419,8.711196899414062)* (913,8.696425437927246) (48,8.680198669433594) (1100,8.657759666442871) (134,8.367103576660156) (265,8.24357795715332) (628,8.153433799743652) (875,8.148563385009766) (190,8.129867553710938)* (4,8.116388320922852)* (131,8.114070892333984)
665: (4744,14.871129989624023) (3655,13.997528076171875)* (1095,13.892969131469727)* (153,13.31478500366211)* (4144,13.303375244140625) (1088,13.290884971618652)* (5259,12.839781761169434) (2814,12.80398178100586) (1875,12.687483787536621) (5425,12.517675399780273)* (1759,12.457618713378906) (4722,12.429315567016602)* (2605,12.423382759094238)* (1546,12.249402046203613)* (932,12.248894691467285)* (5484,12.06440544128418)* (4696,12.051870346069336) (4750,11.991751670837402) (1021,11.972099304199219) (2609,11.968084335327148)*
670: (167,9.85189437866211) (1063,9.682357788085938) (136,9.331066131591797) (404,9.114364624023438) (67,8.984868049621582) (147,8.971450805664062) (1278,8.957382202148438) (1027,8.951217651367188) (419,8.944503784179688) (721,8.789751052856445) (364,8.783309936523438) (116,8.765002250671387) (539,8.713333129882812) (913,8.62095832824707) (385,8.550132751464844) (324,8.526300430297852) (625,8.490752220153809) (746,8.473026275634766) (48,8.462936401367188) (1260,8.45843505859375)
673: (164,12.869682312011719)* (570,11.098413467407227) (4893,10.975399017333984) (4055,10.96460247039795)* (889,10.458349227905273)* (419,10.274385452270508) (130,10.223427772521973) (18,10.217584609985352) (194,10.174983978271484) (9,10.13850212097168)* (642,10.121427536010742) (1248,10.07077693939209) (15,10.040760040283203)* (731,10.033526420593262) (423,10.020956039428711) (566,10.0040864944458)* (2082,9.830974578857422)* (2147,9.790040969848633) (94,9.73402214050293) (512,9.661834716796875)*
678: (1875,14.11670970916748)* (1863,13.66096305847168)* (675,13.635778427124023)* (4150,12.367830276489258)* (5319,12.089073181152344)* (2114,11.657115936279297) (2609,11.32551383972168)* (1919,11.263382911682129)* (5314,11.259410858154297) (4738,11.186195373535156) (5451,11.139622688293457) (6364,11.118022918701172)* (1260,11.063728332519531)* (5384,11.03213119506836)* (3478,10.988943099975586) (7884,10.984939575195312) (1063,10.82438850402832) (6463,10.700456619262695) (1988,10.669055938720703) (88,10.644287109375)
679: (677,12.153013229370117)* (2056,11.332115173339844)* (4118,11.063177108764648)* (7198,10.98271369934082) (204,10.949251174926758) (240,10.835020065307617) (7614,10.796815872192383) (219,10.749834060668945) (51,10.710134506225586)* (1949,10.660207748413086) (7456,10.641792297363281) (704,10.599257469177246) (1820,10.549585342407227) (201,10.512335777282715) (1826,10.484630584716797)* (5079,10.480012893676758)* (2119,10.405405044555664)* (3016,10.352834701538086) (294,10.322519302368164) (2150,10.233085632324219)*
681: (167,12.612298011779785)* (48,12.343765258789062)* (67,11.731201171875)* (265,11.53938102722168) (670,11.532235145568848) (173,11.459115982055664)* (11,11.331732749938965)* (18,11.253803253173828) (686,11.167417526245117) (136,11.109179496765137) (354,11.083134651184082)* (922,11.067342758178711) (50,11.065710067749023) (661,10.974231719970703) (1063,10.959646224975586) (364,10.91955852508545) (665,10.909923553466797) (129,10.8705415725708) (147,10.844186782836914) (360,10.838492393493652)*
683: (1278,10.795843124389648)* (153,10.737787246704102)* (164,10.518056869506836)* (913,10.182053565979004)* (2609,10.159379959106445)* (1093,10.131227493286133) (1197,9.919986724853516) (539,9.800389289855957) (889,9.629096031188965)* (1100,9.62118911743164) (116,9.42605972290039) (540,9.394648551940918) (1315,9.391485214233398) (1553,9.387313842773438) (1495,9.345282554626465) (404,9.333390235900879)* (3274,9.273929595947266) (94,9.109407424926758)* (204,9.091991424560547)* (2116,9.059240341186523)
687: (215,7.801156520843506) (48,7.6807355880737305) (67,7.4856367111206055) (123,7.309196472167969) (360,7.247377395629883) (312,7.1847004890441895) (324,7.160689353942871) (1281,7.121512413024902) (1202,7.062567710876465) (115,7.049035549163818) (3865,7.033114910125732) (107,6.925595283508301) (131,6.919422626495361) (439,6.879166603088379)* (661,6.855318069458008) (665,6.836239814758301) (674,6.799687385559082) (382,6.771557331085205) (298,6.759894371032715) (952,6.7421698570251465)
693: (185,9.209651947021484) (15,8.502450942993164) (130,8.169922828674316) (560,8.106431007385254) (167,8.019493103027344) (4,7.629832744598389) (265,7.584953308105469) (486,7.543667793273926) (1063,7.499241352081299) (312,7.461595058441162) (625,7.461358070373535) (48,7.455536842346191) (136,7.4420366287231445) (434,7.417499542236328) (823,7.3801960945129395) (166,7.380096435546875) (129,7.349923133850098) (1224,7.333610534667969) (173,7.327648639678955) (67,7.224944114685059)
694: (1894,12.266936302185059) (237,11.504236221313477)* (421,11.503194808959961)* (3511,11.3790864944458)* (201,11.250417709350586)* (364,11.196996688842773)* (2038,11.156037330627441)* (3548,11.145256042480469) (1064,11.11889362335205) (814,11.020191192626953)* (2156,10.978790283203125)* (162,10.923847198486328)* (14,10.879496574401855)* (680,10.73896598815918) (265,10.568267822265625)* (169,10.512432098388672) (3622,10.399226188659668)* (1977,10.32435417175293) (1717,10.286819458007812)* (2187,10.276960372924805)
696: (6670,15.047142028808594)* (3585,13.868158340454102) (4623,13.506330490112305)* (4530,13.25904655456543) (8679,13.034801483154297) (6079,12.91350269317627) (1780,12.835548400878906) (2677,12.79883098602295) (4799,12.447603225708008)* (185,12.345891952514648)* (5698,12.173473358154297) (941,12.158947944641113) (6996,12.094429016113281)* (9274,11.622217178344727) (432,11.537781715393066) (3908,11.534272193908691) (9270,11.482970237731934)* (14614,11.302370071411133) (625,11.247501373291016)* (3874,11.235799789428711)
699: (210,9.386310577392578) (1814,9.375911712646484) (2077,9.373359680175781) (161,9.292913436889648)* (34,9.00916862487793)* (1377,9.003152847290039) (312,8.977333068847656) (716,8.974800109863281)* (810,8.910981178283691)* (398,8.886480331420898) (205,8.812265396118164)* (67,8.80700397491455) (385,8.561803817749023) (1243,8.507676124572754) (199,8.503164291381836) (131,8.502045631408691) (259,8.477409362792969) (136,8.39065933227539) (719,8.375529289245605) (215,8.375134468078613)
704: (15,12.800874710083008)* (560,11.759780883789062)* (67,11.620312690734863) (173,11.46376895904541)* (164,11.439498901367188)* (404,11.199536323547363) (823,11.134839057922363)* (1063,11.008125305175781) (520,11.006000518798828) (215,10.925228118896484)* (276,10.71672248840332)* (107,10.663904190063477)* (20672,10.601670265197754) (385,10.562860488891602)* (371,10.433497428894043)* (1224,10.38909912109375)* (1553,10.38064193725586) (312,10.167564392089844) (374,10.122151374816895)* (1717,10.121191024780273)
709: (1220,9.736562728881836) (952,9.711484909057617) (1780,9.144304275512695) (387,9.076102256774902) (2328,9.041805267333984) (3499,9.024295806884766) (228,8.948173522949219) (3721,8.699426651000977) (1207,8.695204734802246) (263,8.644493103027344) (3551,8.546249389648438)* (4150,8.53193473815918) (3310,8.52651309967041)* (89,8.367618560791016)* (3622,8.228143692016602)* (4884,8.116700172424316)* (51,8.066413879394531) (2899,8.052238464355469) (434,8.050286293029785) (145,8.037235260009766)
715: (1940,10.662704467773438) (969,10.093338012695312) (1993,9.812036514282227)* (1235,9.720952987670898)* (413,9.549822807312012) (1061,9.505387306213379) (889,9.4761962890625) (1322,9.401485443115234)* (520,9.401195526123047) (1017,9.383468627929688) (1058,9.372539520263672) (421,9.366281509399414)* (1759,9.36018180847168) (7198,9.346014022827148) (425,9.343064308166504)* (15,9.312553405761719) (2165,9.309003829956055)* (2177,9.253755569458008) (779,9.22764778137207) (5080,9.224544525146484)
716: (15,11.360677719116211)* (185,10.305391311645508) (312,10.133378982543945) (215,10.09672737121582)* (130,10.075775146484375) (823,9.987616539001465) (512,9.77192211151123) (107,9.764890670776367) (129,9.742335319519043)* (169,9.60232925415039) (1187,9.576139450073242) (136,9.570610046386719) (560,9.562466621398926) (364,9.551219940185547)* (1186,9.549263000488281) (17,9.467514038085938) (72,9.462471008300781)* (131,9.451525688171387) (18,9.443553924560547)* (88,9.287927627563477)
718: (3996,13.268575668334961) (1759,12.936413764953613)* (3078,12.898534774780273)* (5211,12.739184379577637) (4893,12.412927627563477)* (1197,12.265544891357422) (5258,12.182844161987305)* (1826,11.991029739379883)* (4885,11.939807891845703)* (4123,11.7731351852417)* (4888,11.681507110595703)* (703,11.598640441894531)* (889,11.522951126098633)* (4744,11.491403579711914)* (4103,11.432962417602539)* (810,11.377836227416992)* (4120,11.334409713745117) (3191,11.281919479370117)* (1204,11.216951370239258) (3977,11.171995162963867)*
723: (2137,11.766650199890137)* (1790,11.424546241760254) (1759,11.312824249267578) (3655,11.061036109924316) (2609,10.912439346313477) (1802,10.40263557434082) (889,10.294403076171875)* (3892,10.188552856445312) (520,10.096878051757812) (640,10.04880142211914) (746,9.979833602905273) (3977,9.944123268127441) (628,9.722412109375) (166,9.62628173828125)* (570,9.601411819458008) (1100,9.597082138061523) (4092,9.498432159423828) (2114,9.488057136535645) (913,9.484609603881836) (4893,9.392980575561523)
727: (2328,12.419210433959961)* (269,12.281389236450195)* (842,11.896224975585938)* (274,11.789958953857422)* (185,11.771764755249023)* (952,11.738004684448242) (312,11.397947311401367)* (875,10.852628707885742)* (89,10.64334774017334) (15098,10.596410751342773) (368,10.457549095153809)* (6215,10.448643684387207) (3344,10.441763877868652)* (16,10.406805038452148) (932,10.373821258544922) (276,10.233797073364258) (821,10.221601486206055)* (285,10.157148361206055) (147,10.097159385681152) (279,10.094215393066406)
763: (2790,13.260756492614746)* (3280,12.603089332580566)* (459,11.80208969116211)* (932,11.792888641357422) (2609,11.7878999710083)* (1780,11.691625595092773) (3346,11.56425666809082)* (1790,11.400585174560547) (3266,11.126470565795898)* (555,11.089051246643066)* (523,11.056023597717285)* (172,10.954565048217773) (178,10.946846961975098) (3892,10.90986442565918)* (2328,10.86142349243164) (642,10.653606414794922) (802,10.64664077758789) (1297,10.567880630493164) (862,10.424104690551758)* (3270,10.412253379821777)*
765: (4752,13.461183547973633) (5294,13.311418533325195)* (3551,13.295766830444336)* (387,13.110031127929688) (298,13.010562896728516)* (1002,12.912494659423828) (896,12.700347900390625) (1892,12.6343994140625)* (1820,12.633377075195312)* (1717,12.556499481201172) (70,12.527942657470703)* (4744,12.483734130859375) (2072,12.357373237609863) (201,12.280679702758789)* (791,12.26313591003418) (677,12.207235336303711) (3228,12.040308952331543)* (1186,11.918848037719727)* (1863,11.858814239501953)* (5499,11.841253280639648)*
773: (269,10.182312965393066)* (16,10.003448486328125) (174,9.993650436401367) (842,9.797260284423828)* (354,9.739670753479004) (2423,9.691340446472168) (848,9.62431812286377) (89,9.617206573486328) (48,9.51246166229248) (274,9.474977493286133)* (2561,9.444700241088867) (360,9.432228088378906) (18,9.3336181640625) (6215,9.332250595092773) (2319,9.30659294128418) (1017,9.283025741577148)* (1255,9.25602912902832) (340,9.242481231689453) (14,9.208742141723633) (115,9.129405975341797)*
776: (185,10.838947296142578) (560,10.10291862487793) (147,9.660170555114746) (136,9.645597457885742) (167,9.616998672485352)* (1144,9.234195709228516) (67,9.10181999206543)* (1063,9.061400413513184) (625,9.030912399291992) (166,8.85624885559082) (265,8.851198196411133) (164,8.697492599487305) (2779,8.673458099365234) (941,8.638280868530273) (1100,8.621316909790039) (575,8.588848114013672) (2069,8.471124649047852) (1553,8.4422607421875) (539,8.433155059814453) (131,8.423900604248047)
784: (539,13.74795150756836)* (625,13.418638229370117)* (1027,13.334308624267578)* (265,13.038551330566406)* (1224,13.013815879821777)* (1144,12.820331573486328)* (865,12.415279388427734)* (1717,12.078680038452148)* (153,12.060043334960938)* (575,11.977158546447754) (2609,11.894513130187988) (20672,11.87246322631836)* (501,11.859956741333008)* (555,11.84383773803711)* (1055,11.801939010620117)* (162,11.784765243530273)* (1390,11.678958892822266)* (169,11.671008110046387)* (479,11.650106430053711)* (914,11.547569274902344)
786: (147,12.495051383972168)* (185,11.748392105102539)* (130,11.316976547241211) (131,10.782571792602539)* (952,10.693620681762695)* (932,10.61279296875)* (95,10.553770065307617) (1063,10.387784957885742) (434,10.301834106445312)* (166,10.285436630249023) (210,10.268098831176758)* (364,10.26772403717041)* (674,10.250673294067383) (896,10.182686805725098) (164,10.096271514892578) (1100,9.99563217163086) (670,9.89836311340332) (2077,9.858983993530273)* (2069,9.856224060058594) (129,9.84732437133789)
790: (5810,14.739813804626465)* (1255,14.537437438964844)* (2165,13.79142951965332)* (2151,13.769941329956055)* (3108,13.559990882873535)* (6931,13.396950721740723)* (5080,13.299032211303711)* (3538,13.276530265808105) (2570,13.260477066040039)* (420,13.043313980102539)* (4118,12.744571685791016)* (364,12.669055938720703)* (830,12.446945190429688) (359,12.236949920654297)* (287,12.134659767150879) (7,11.883541107177734) (1210,11.883525848388672) (5096,11.87595272064209)* (5072,11.843318939208984) (267,11.721872329711914)*
791: (2319,13.381464004516602) (237,13.136590957641602)* (245,12.147175788879395) (1281,11.99813461303711) (553,11.917158126831055) (174,11.668440818786621) (7258,11.601160049438477) (2328,11.577966690063477) (1820,11.3496675491333) (1826,11.341693878173828)* (284,11.301041603088379) (664,11.30097484588623) (1905,11.251676559448242) (4471,11.235987663269043)* (945,10.937808990478516)* (248,10.716075897216797)* (1059,10.64199161529541) (4181,10.604048728942871) (7456,10.528573989868164) (7614,10.527668952941895)*
797: (312,10.366722106933594)* (18,10.150504112243652)* (1281,9.480524063110352)* (131,9.43217945098877) (952,9.423864364624023) (382,9.288590431213379) (237,9.263015747070312)* (107,9.034444808959961)* (354,9.020650863647461) (210,9.009628295898438) (298,9.005239486694336) (670,8.98335075378418)* (1196,8.927823066711426) (374,8.791849136352539) (722,8.740816116333008) (553,8.735532760620117) (269,8.647682189941406) (162,8.64073371887207)* (115,8.633281707763672) (1202,8.62388801574707)
798: (865,13.863636016845703)* (116,13.567222595214844)* (486,13.519632339477539)* (1187,13.265296936035156) (459,12.710159301757812)* (47,12.613557815551758)* (1278,12.562122344970703) (15,12.533447265625)* (539,12.485630989074707) (329,12.449045181274414)* (169,12.223576545715332)* (203,12.179115295410156)* (6,12.060847282409668)* (148,11.996926307678223) (479,11.990962982177734) (818,11.948391914367676)* (105,11.912841796875) (5,11.723185539245605)* (688,11.582829475402832) (2910,11.553711891174316)*
800: (3730,26.145551681518555)* (5704,24.084056854248047) (2175,23.46600341796875)* (1340,21.904823303222656)* (4901,21.835309982299805)* (5084,21.78628158569336) (3406,21.529781341552734)* (4359,21.503765106201172)* (2744,20.7098388671875)* (128,20.649633407592773) (10722,19.95925521850586)* (7258,19.891887664794922)* (3944,19.883010864257812)* (1173,19.67363739013672)* (3709,19.643165588378906)* (87,19.632694244384766)* (1017,19.514389038085938)* (2322,19.327075958251953)* (1915,19.28684425354004)* (7351,19.153640747070312)*
801: (2101,13.413676261901855)* (240,13.25639533996582)* (2732,12.813264846801758)* (3245,12.203133583068848) (95,12.005960464477539) (2925,11.95663070678711)* (2905,11.938926696777344)* (2888,11.648613929748535) (1330,11.64052677154541) (161,11.592022895812988) (696,11.559478759765625)* (1222,11.503837585449219) (1182,11.473114013671875)* (147,11.413372039794922)* (45,11.367361068725586)* (358,11.279190063476562) (555,11.256772994995117)* (2956,11.241060256958008)* (1243,11.20675277709961)* (688,11.006404876708984)
810: (1099,17.881216049194336)* (2994,17.878145217895508)* (1790,17.579498291015625) (147,17.569414138793945)* (196,16.619428634643555)* (192,16.579452514648438)* (2106,16.440479278564453)* (2604,15.818343162536621)* (1471,15.739799499511719)* (1063,15.623708724975586)* (8718,15.479366302490234) (1609,15.470402717590332) (1814,15.21816635131836) (1637,15.114923477172852)* (2137,15.10918140411377)* (4103,15.085630416870117) (617,15.072736740112305) (1088,14.770048141479492) (3817,14.651447296142578)* (1802,14.448501586914062)*
821: (130,10.671085357666016) (1063,10.08505916595459)* (312,10.046829223632812) (2779,9.965944290161133)* (166,9.94615364074707) (2069,9.821245193481445) (520,9.799310684204102)* (2609,9.739463806152344) (1273,9.70927619934082) (575,9.619023323059082) (215,9.483597755432129)* (875,9.467525482177734) (153,9.449604034423828)* (3344,9.314044952392578) (3346,9.305893898010254) (95,9.291803359985352) (862,9.21390151977539) (1278,9.197765350341797) (1186,9.155094146728516)* (1100,9.13040542602539)
824: (5294,14.746179580688477)* (3555,14.275056838989258)* (4738,13.527124404907227)* (2072,13.276731491088867) (5484,13.270650863647461)* (740,13.162554740905762)* (1875,13.150150299072266)* (1863,13.113962173461914)* (1847,13.01436996459961)* (5314,12.481597900390625) (3294,12.207372665405273)* (5515,11.959948539733887)* (166,11.85323715209961)* (3139,11.787267684936523)* (2114,11.563469886779785)* (3346,11.519059181213379)* (3100,11.449271202087402)* (12299,11.201114654541016)* (153,11.156417846679688)* (2131,11.13123607635498)*
826: (263,13.086610794067383)* (258,12.251052856445312) (842,11.241569519042969)* (925,11.128741264343262) (185,10.923942565917969)* (312,10.856110572814941)* (932,10.843658447265625)* (1103,10.807411193847656) (2837,10.616912841796875)* (875,10.597975730895996)* (625,10.41903305053711) (317,10.192968368530273) (1717,10.014402389526367) (2813,10.005646705627441)* (3402,9.977442741394043)* (103,9.954935073852539) (2803,9.947074890136719) (228,9.877461433410645) (555,9.868505477905273) (354,9.77625846862793)
828: (167,9.814216613769531) (173,9.600021362304688)* (215,9.534595489501953)* (267,9.474645614624023)* (156,9.45164680480957) (324,9.446990966796875)* (69,9.401958465576172)* (440,9.40037727355957)* (17,9.304014205932617) (674,9.285658836364746) (33,9.119634628295898) (536,9.109536170959473) (88,9.071904182434082) (374,9.070971488952637) (35,9.039963722229004)* (4492,9.002601623535156) (347,8.986725807189941) (1360,8.978418350219727) (340,8.971049308776855) (687,8.938182830810547)*
832: (108,14.999770164489746)* (2055,14.3734130859375)* (833,14.22134017944336)* (1245,13.704071044921875)* (1390,13.58348560333252)* (1732,13.509251594543457)* (2923,13.068180084228516) (369,13.01173210144043) (1860,12.821511268615723)* (913,12.762411117553711)* (1435,12.683149337768555)* (686,12.619941711425781) (84,12.587295532226562)* (1240,12.564554214477539)* (845,12.522229194641113)* (3231,12.516426086425781)* (688,12.508331298828125)* (2630,12.413151741027832)* (220,12.363024711608887)* (431,12.354471206665039)*
834: (1790,14.89605712890625)* (2609,14.12336540222168)* (147,13.814638137817383)* (904,13.098628997802734)* (941,13.02004623413086)* (130,12.597208023071289)* (48,12.501800537109375)* (312,12.400664329528809)* (570,12.360371589660645)* (1759,12.264043807983398) (642,12.252013206481934) (721,12.163110733032227)* (560,12.148225784301758)* (2069,11.969148635864258) (3655,11.936943054199219)* (3280,11.876998901367188)* (4345,11.54079532623291)* (2834,11.533610343933105)* (891,11.362874984741211)* (2956,11.358037948608398)
838: (3555,14.743428230285645)* (675,14.129228591918945) (2072,13.872472763061523)* (210,13.307720184326172)* (2732,13.063933372497559)* (1813,12.816028594970703) (240,12.811357498168945)* (2925,12.651836395263672) (3738,12.61671257019043) (48,12.547151565551758) (670,12.45106315612793)* (189,12.380792617797852) (368,12.328107833862305)* (1034,12.011402130126953) (1377,11.999062538146973) (974,11.921921730041504) (3436,11.824169158935547) (1915,11.710349082946777) (717,11.630733489990234) (2175,11.605026245117188)
844: (185,9.443787574768066) (67,9.370136260986328) (298,9.077264785766602) (129,8.65675163269043) (1813,8.601715087890625) (215,8.562576293945312) (1186,8.52457046508789) (844,8.466384887695312) (170,8.427591323852539) (875,8.398931503295898)* (419,8.380654335021973) (1273,8.241744995117188)* (1063,8.236987113952637) (764,8.229515075683594) (169,8.216011047363281) (862,8.173624038696289) (2119,8.156675338745117) (360,8.082503318786621) (364,8.065742492675781) (2096,8.039310455322266)
852: (147,9.697951316833496)* (164,9.263885498046875)* (1144,8.885477066040039) (2609,8.644672393798828) (1278,8.454523086547852) (539,8.399937629699707) (1273,8.369722366333008) (4,8.356878280639648)* (153,8.35336971282959) (419,8.350919723510742) (2069,8.345276832580566)* (215,8.326059341430664) (312,8.315069198608398) (2137,8.2957763671875) (1100,8.293249130249023) (265,8.291141510009766)* (875,8.26931381225586) (131,8.174534797668457) (941,8.156232833862305) (95,8.14815616607666)
855: (2803,13.950271606445312) (1144,12.123722076416016) (925,11.676385879516602) (897,11.3984375) (2069,11.392852783203125) (512,11.361291885375977) (258,11.358694076538086) (2199,11.029953002929688)* (2131,10.977707862854004) (334,10.879533767700195) (2837,10.776663780212402) (1779,10.752431869506836) (808,10.635834693908691) (2132,10.48702621459961) (166,10.423904418945312) (1951,10.320225715637207) (1717,10.310550689697266)* (3344,10.30981731414795) (1100,10.304439544677734) (3270,10.303831100463867)
857: (312,13.703340530395508)* (72,13.543657302856445)* (269,12.881502151489258)* (189,12.56597900390625) (875,12.349416732788086)* (15,12.276250839233398)* (382,11.998495101928711)* (298,11.79663372039795)* (158,11.780344009399414)* (439,11.614340782165527)* (823,11.558915138244629)* (131,11.55459976196289)* (374,11.548492431640625) (3344,11.495365142822266) (9,11.486173629760742)* (147,11.449589729309082) (821,11.391813278198242)* (2244,11.343955039978027)* (16,11.301263809204102) (201,11.26424503326416)
865: (71,12.596366882324219)* (1250,12.434483528137207)* (8934,12.36219596862793) (2956,12.267602920532227)* (1144,11.99174690246582) (1102,11.982319831848145) (1190,11.860774993896484) (2014,11.857487678527832) (523,11.822813034057617)* (3585,11.66625690460205) (419,11.409852981567383) (1689,11.40427017211914) (2137,11.395244598388672)* (6670,11.36198902130127) (9278,11.339446067810059) (1992,11.240199089050293) (3499,11.157809257507324)* (70,10.967656135559082)* (4530,10.934324264526367) (3136,10.8941650390625)
869: (240,12.386407852172852) (1813,11.63760757446289) (898,11.048107147216797) (2101,10.827598571777344) (167,10.598100662231445) (670,10.572607040405273) (263,10.349259376525879) (2119,10.341850280761719) (130,10.2051420211792) (161,10.202709197998047) (312,10.198173522949219) (51,10.172811508178711) (368,9.988359451293945) (3231,9.9192476272583) (764,9.89256477355957) (7614,9.872800827026367)* (215,9.836325645446777)* (2173,9.820714950561523)* (2732,9.817380905151367) (15,9.786097526550293)
874: (5211,13.367908477783203)* (722,12.277165412902832) (123,12.227645874023438)* (1940,11.980123519897461)* (267,11.918865203857422) (173,11.884227752685547) (1949,11.812318801879883) (7710,11.80909538269043)* (2173,11.739117622375488)* (2165,11.705638885498047)* (5187,11.696531295776367)* (969,11.664388656616211) (2150,11.65591049194336)* (746,11.613161087036133)* (324,11.516898155212402)* (397,11.448819160461426) (1281,11.35142707824707)* (5080,11.325785636901855)* (1993,11.254528045654297) (1074,11.213133811950684)
876: (15,13.599166870117188)* (167,13.368544578552246)* (48,12.522729873657227)* (11,12.50119400024414)* (115,12.267354965209961)* (922,12.22590446472168) (670,12.055462837219238)* (88,11.897123336791992) (156,11.70272445678711) (18,11.588728904724121) (1064,11.555536270141602)* (185,11.5457763671875) (205,11.442103385925293)* (2910,11.343414306640625) (536,11.239631652832031)* (560,11.235326766967773) (1202,11.163939476013184) (298,11.027013778686523)* (1717,10.968253135681152)* (6,10.932220458984375)*
889: (1894,12.267004013061523)* (240,12.179849624633789)* (48,12.145467758178711)* (2119,11.999119758605957)* (2328,11.969022750854492)* (167,11.74651050567627) (360,11.416662216186523)* (952,11.36430835723877)* (5704,11.068607330322266)* (4181,10.916863441467285) (670,10.896675109863281) (4,10.88083267211914) (680,10.805315971374512)* (3499,10.57205867767334) (692,10.501029014587402) (3741,10.480119705200195) (1190,10.449970245361328) (2096,10.373324394226074) (166,10.35862922668457)* (844,10.326814651489258)
891: (777,11.594862937927246) (4292,11.466642379760742) (14660,11.404706954956055) (6667,11.379638671875)* (89,11.31972885131836) (5614,11.267768859863281) (136,11.185431480407715) (975,11.01607608795166)* (783,11.010711669921875) (3495,10.908855438232422) (183,10.893815994262695) (8815,10.842921257019043)* (130,10.72210693359375)* (844,10.539655685424805) (459,10.372027397155762) (4327,10.335765838623047) (2594,10.329639434814453) (2069,10.305822372436523) (540,10.196751594543457) (3731,10.17397689819336)
