userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (364,0.9052807092666626) (1,0.9031793475151062)* (2081,0.6883383989334106) (34,0.6869486570358276) (318,0.6586472392082214) (2687,0.6478927135467529) (2096,0.6328665018081665) (1028,0.624160647392273)* (2761,0.5929548740386963) (1097,0.5847176313400269)* (3751,0.5744806528091431) (2087,0.5720150470733643) (2085,0.559831440448761) (1198,0.5575133562088013) (480,0.5541533827781677) (593,0.551691472530365) (1704,0.5502195954322815) (2018,0.538943886756897)* (2394,0.5385363101959229) (1029,0.531145453453064)*
13: (1240,1.0084571838378906) (2628,0.9226523637771606) (1580,0.8930328488349915)* (2916,0.88710618019104) (1200,0.8811991214752197) (2762,0.8245620131492615) (1214,0.8239997625350952) (527,0.8176975250244141)* (457,0.8075106143951416) (1376,0.7966933846473694) (1036,0.7957848906517029) (858,0.7745510339736938) (1610,0.7570435404777527) (541,0.7381927967071533) (3578,0.7311791777610779) (1270,0.7140583992004395) (3175,0.6837823987007141) (316,0.6394047737121582) (1584,0.6381322145462036) (608,0.6317504048347473)
14: (2858,0.7183492183685303) (2959,0.5288653373718262) (2762,0.4900197386741638)* (2599,0.48570358753204346) (2908,0.456962525844574) (223,0.4547114670276642) (318,0.4345921277999878) (527,0.43316781520843506) (3160,0.42290428280830383) (608,0.40621405839920044) (2336,0.394894540309906) (50,0.3906955420970917) (2395,0.38923490047454834) (2683,0.3824465572834015) (3006,0.3773198127746582) (2324,0.36825650930404663) (2712,0.36682260036468506) (593,0.3623707592487335) (1617,0.3608211874961853) (1213,0.35499244928359985)
15: (110,1.150869369506836)* (3147,1.0972260236740112)* (2688,1.0373575687408447) (2763,1.0304564237594604) (2605,1.007778525352478) (2959,0.9879563450813293) (3510,0.9784049391746521)* (3623,0.9706271886825562) (457,0.9586552977561951)* (3555,0.9503952264785767) (2683,0.9496688842773438)* (480,0.9076000452041626)* (2881,0.8950818181037903) (733,0.8722108602523804) (1721,0.8451499938964844) (296,0.8095239400863647) (2353,0.8065991401672363) (1617,0.7940182089805603) (1393,0.7922311425209045) (589,0.7798386812210083)
16: (2706,0.7993422746658325) (3114,0.7731460332870483) (2694,0.7030006647109985) (2770,0.700489342212677) (2716,0.6962384581565857) (2987,0.6573314666748047) (1127,0.6470226049423218) (2688,0.6294026970863342) (2433,0.5985602736473083) (3408,0.592867374420166) (2605,0.5783292055130005) (2396,0.5754860639572144) (3157,0.5571386814117432) (3005,0.5425872206687927) (3623,0.542087972164154) (2762,0.5293823480606079) (3793,0.528119683265686) (2336,0.5238867402076721) (1513,0.5218613743782043) (2763,0.5216650366783142)
17: (1653,1.1263611316680908)* (1527,1.0336750745773315)* (1199,1.011370062828064) (3702,0.983005166053772) (1097,0.960654079914093) (1301,0.9569747447967529)* (2968,0.9550578594207764) (3578,0.9513235092163086)* (2762,0.9493442177772522)* (750,0.9405053853988647)* (3703,0.9090120792388916)* (608,0.8970373868942261) (1396,0.8582370281219482) (1676,0.853541374206543) (296,0.8412705659866333)* (1573,0.8394328355789185) (2628,0.8160585165023804) (2985,0.8129534721374512)* (1372,0.7895970344543457) (2997,0.7619361877441406)
18: (595,1.0581014156341553)* (1022,0.9282267689704895)* (260,0.78721684217453)* (1028,0.7868064641952515)* (1032,0.7635506391525269)* (3034,0.7446581125259399)* (3114,0.7278724908828735) (661,0.6951671838760376) (2687,0.6892528533935547) (2396,0.6772101521492004) (1374,0.6686967611312866) (1033,0.6599136590957642)* (1275,0.6493496894836426)* (2571,0.6469910144805908) (497,0.6443767547607422) (480,0.6413697004318237) (1610,0.6397520899772644) (1566,0.6387204527854919) (1101,0.6308234930038452) (2628,0.629156231880188)*
19: (260,1.0452356338500977) (2706,1.0428099632263184) (3793,1.0005697011947632)* (3578,0.997901201248169) (589,0.9913271069526672)* (2762,0.9632065296173096)* (2028,0.8605821132659912)* (2987,0.8409253358840942)* (2997,0.8174480199813843) (1240,0.8173583745956421) (457,0.799598217010498) (1200,0.7837737798690796) (3753,0.7827532291412354) (3175,0.7788552045822144) (2628,0.773590087890625) (1127,0.7701163291931152) (3623,0.754693865776062) (1214,0.7531102299690247) (1136,0.7503942251205444) (2694,0.7353929281234741)*
20: (480,0.9372895956039429) (1580,0.8290629982948303) (260,0.7900350093841553) (1196,0.7857975959777832) (1210,0.7732333540916443) (457,0.7708393335342407)* (2762,0.7414747476577759) (2916,0.7310993671417236) (3793,0.707547128200531) (593,0.6974350810050964) (1198,0.6679598689079285) (1200,0.6665659546852112) (1214,0.6542000770568848) (50,0.6518116593360901) (318,0.6329501271247864) (3555,0.6318069696426392) (1610,0.6316834092140198) (858,0.6211360096931458) (2628,0.6191919445991516) (296,0.6183501482009888)
21: (3793,0.5114186406135559) (741,0.3923483192920685) (3624,0.3825123906135559) (1274,0.3676477074623108) (3578,0.3636591136455536) (3751,0.3614700138568878) (3300,0.3427635431289673) (2761,0.31814858317375183) (1215,0.3006594479084015) (3175,0.2979917526245117) (1148,0.28730881214141846) (1356,0.28694212436676025) (1527,0.28431928157806396) (1748,0.27953410148620605) (3160,0.2753560245037079) (2140,0.27175652980804443) (3703,0.2679544985294342) (1676,0.2637559175491333) (2105,0.26280075311660767) (2692,0.26193201541900635)
22: (2959,0.8619817495346069) (2571,0.845630943775177) (296,0.8345867395401001) (1210,0.8204522132873535) (50,0.7817317247390747) (1200,0.7776166796684265)* (2700,0.7706413865089417) (2804,0.7610397338867188) (260,0.7552654147148132) (1215,0.7402013540267944)* (1197,0.7293840646743774) (3793,0.704679548740387) (1136,0.7028104066848755)* (2502,0.6743768453598022) (1580,0.6716574430465698) (2683,0.6602290868759155) (593,0.6572155952453613) (1214,0.655467689037323)* (2706,0.6509036421775818) (551,0.6426172256469727)
23: (2571,1.1725614070892334) (1200,1.0452181100845337) (1240,1.0444284677505493)* (1214,1.033782958984375) (3175,1.0165048837661743) (1374,1.0118821859359741) (541,0.9735251069068909)* (1527,0.9440264701843262)* (1206,0.8437627553939819) (2529,0.8356255292892456) (2288,0.8282755613327026) (3702,0.8220307230949402) (260,0.8115611672401428)* (3703,0.8094812631607056) (1199,0.8072032928466797) (1676,0.8062665462493896) (1210,0.7888998985290527) (1653,0.7768333554267883) (924,0.7305663824081421) (1301,0.7053789496421814)
24: (2804,0.8734433650970459) (2248,0.7805070877075195)* (1196,0.7539023160934448) (1097,0.7406151294708252) (1961,0.7082431316375732) (1291,0.70124351978302)* (2000,0.7008271217346191) (3421,0.6916577219963074) (1,0.6682217121124268) (2174,0.6557525396347046) (2355,0.6395518183708191) (296,0.6349107623100281)* (1210,0.6289994120597839) (1674,0.6164754629135132)* (1225,0.6143494248390198)* (1213,0.6000894904136658)* (1663,0.5945612788200378)* (3543,0.593200147151947) (1172,0.5897746086120605) (356,0.5858551859855652)
25: (2571,1.1708755493164062) (3175,1.0623432397842407) (2762,1.0370633602142334) (1196,1.03343665599823)* (589,0.8981000781059265) (2959,0.8954178094863892) (2355,0.8795273303985596) (1127,0.8647218346595764) (780,0.8508011102676392)* (2706,0.8306292295455933) (3753,0.8077201247215271)* (1580,0.7972841858863831)* (2683,0.7961346507072449) (2716,0.7588591575622559)* (316,0.7559565305709839) (110,0.7380728721618652) (1527,0.7355906963348389) (1584,0.7278534173965454) (2858,0.7260138988494873) (2997,0.7245354056358337)
26: (597,0.7977980375289917)* (539,0.7663182020187378) (2671,0.6786245107650757) (2424,0.6727776527404785) (1569,0.6379932165145874) (1721,0.6351647973060608) (2724,0.6288517713546753) (339,0.6250717043876648) (11,0.6222687363624573) (1393,0.6094175577163696)* (2881,0.6049860715866089) (587,0.5497096180915833) (266,0.538163423538208) (1777,0.5370916724205017) (2688,0.5171411037445068) (440,0.5017930865287781) (3591,0.4989553689956665) (1088,0.4891909956932068) (1835,0.48486489057540894) (1888,0.4707561731338501)
27: (904,0.8985429406166077) (1284,0.8418654799461365) (1212,0.8377042412757874) (903,0.8300593495368958) (750,0.8243294954299927) (1248,0.8099019527435303)* (1221,0.7886996269226074) (919,0.7811709642410278) (922,0.7662972211837769)* (1617,0.7578153014183044)* (2019,0.7056172490119934) (899,0.6874203681945801) (1230,0.6829084753990173) (942,0.6673755049705505) (1219,0.6644827127456665) (1196,0.6536165475845337) (1247,0.653232991695404) (969,0.6506902575492859) (3334,0.6454083919525146) (3095,0.6422556638717651)
28: (1196,0.7209863662719727)* (608,0.7098425626754761)* (1617,0.6691464185714722) (593,0.6530508399009705) (904,0.651114821434021)* (858,0.643924355506897) (318,0.6401557922363281)* (1307,0.6226385831832886) (296,0.621764063835144) (899,0.6167922019958496) (913,0.6047956943511963) (1219,0.6047336459159851) (908,0.6036344766616821) (541,0.5824156999588013) (1394,0.5809743404388428) (1259,0.5808635354042053) (903,0.5795202255249023) (2716,0.5719724297523499) (1225,0.570642352104187)* (923,0.5702189207077026)
29: (260,1.0888041257858276)* (1200,1.0874519348144531) (1291,1.0545419454574585) (2947,1.0143598318099976) (1210,1.0060904026031494) (1387,0.9357191920280457)* (2944,0.9306102395057678)* (1610,0.9128424525260925) (457,0.9085580110549927) (1374,0.9084069132804871) (2571,0.901395857334137) (2948,0.8917087912559509) (1201,0.890753984451294) (2000,0.8587814569473267) (3654,0.8404861688613892) (858,0.8121294975280762)* (3703,0.8005147576332092) (2194,0.7873572111129761) (1127,0.7604442834854126) (1221,0.7547680735588074)
30: (593,1.2099175453186035)* (608,1.1234207153320312) (296,1.0277131795883179) (2997,0.9756276607513428)* (3408,0.8535095453262329) (1704,0.8515399098396301) (1213,0.8487228751182556) (2396,0.8347521424293518) (110,0.8082672953605652) (3160,0.8036600351333618) (3897,0.7985098361968994) (2692,0.7604839205741882) (2908,0.7462660670280457) (3006,0.7338594198226929) (2959,0.6990303993225098) (3578,0.6934001445770264) (2599,0.6833858489990234) (3481,0.6806330680847168) (1089,0.6798120737075806) (2324,0.6678905487060547)
31: (2791,0.7267326712608337) (1269,0.6956520080566406)* (3421,0.6887121796607971) (1278,0.661077618598938) (910,0.6544747948646545)* (1270,0.6459260582923889)* (1028,0.6453944444656372) (1079,0.6282413005828857) (1294,0.6265517473220825) (2797,0.6084937453269958) (898,0.591098964214325)* (1136,0.582678496837616) (3061,0.5773715376853943) (2080,0.5740195512771606)* (1220,0.5657838582992554) (1663,0.5631148815155029)* (3552,0.5540267825126648) (905,0.5448387265205383)* (1394,0.5421736240386963) (3361,0.5368898510932922)
32: (2997,0.621620237827301) (318,0.6008010506629944) (50,0.5959907174110413) (3578,0.593532383441925) (3408,0.582152247428894) (296,0.549626350402832) (527,0.5473017692565918) (1617,0.5373789072036743) (2396,0.5220730304718018) (3897,0.5180318355560303) (3481,0.5175925493240356) (110,0.47576427459716797) (3160,0.46950680017471313) (3176,0.4685021936893463) (2571,0.454380065202713) (2028,0.44575417041778564) (1704,0.4415401220321655) (1249,0.43927401304244995) (1213,0.43690428137779236) (1358,0.42221325635910034)*
33: (1387,1.1406307220458984)* (1036,1.014947533607483) (260,0.8690896034240723)* (589,0.8281720876693726)* (457,0.8185585737228394) (1954,0.8079422116279602) (1345,0.8032153844833374) (541,0.7829989194869995) (1350,0.7806870937347412) (50,0.7535606622695923) (2662,0.7360067367553711)* (1321,0.7277783155441284) (750,0.7087105512619019) (3499,0.7058569192886353)* (2454,0.7030034065246582) (2366,0.7009375095367432) (1090,0.6791802644729614) (2949,0.6772756576538086) (1203,0.6689220666885376) (1086,0.6635186076164246)*
34: (2918,1.004488468170166)* (2706,0.9468836188316345) (1777,0.7802696228027344) (1265,0.7639358043670654) (2797,0.7503517270088196) (1569,0.7219040393829346) (2791,0.7082104086875916)* (356,0.6876909136772156)* (2683,0.6824259757995605) (440,0.6732732057571411) (2081,0.671251654624939)* (1270,0.658416748046875)* (11,0.6579393148422241)* (2355,0.6450828909873962) (3552,0.6380535364151001) (2694,0.6307420134544373) (3210,0.6293675303459167) (3114,0.6293247938156128) (2724,0.628492534160614) (1257,0.6277581453323364)
35: (899,0.7623589038848877)* (1247,0.6962919235229492)* (898,0.6564096212387085) (1244,0.6111723184585571) (914,0.6087430715560913) (1947,0.5974084734916687) (1188,0.5971020460128784) (916,0.5807596445083618) (951,0.5632677674293518) (905,0.5494393110275269) (1207,0.5312231779098511) (1204,0.5258735418319702) (1256,0.5253597497940063) (913,0.5209873914718628) (923,0.5208532810211182) (3545,0.5178868770599365) (1952,0.5157560706138611) (920,0.5157006978988647) (1296,0.5131179094314575) (1212,0.5114802122116089)
36: (1240,1.013930082321167)* (3623,0.853249728679657)* (3510,0.8324514627456665) (1527,0.7978430390357971)* (3555,0.7721492052078247) (1222,0.7334702014923096) (3755,0.7198013067245483) (2058,0.7137311697006226)* (21,0.7063921689987183)* (2502,0.70476233959198) (3421,0.7026318311691284) (1196,0.6976183652877808)* (2997,0.6975736021995544) (3203,0.6854713559150696) (50,0.684516191482544) (1220,0.681519627571106) (2396,0.6785448789596558) (3408,0.6775929927825928)* (2947,0.6775619387626648) (1608,0.6772137880325317)*
37: (539,0.6663540601730347) (916,0.6350830793380737) (914,0.6232595443725586) (2671,0.5965646505355835)* (339,0.5717149972915649) (440,0.5665051937103271) (919,0.5657637119293213) (1569,0.563823938369751)* (17,0.562000036239624) (2125,0.5610870122909546) (1721,0.560239315032959) (39,0.5601597428321838) (1035,0.5591981410980225) (2424,0.5457789897918701) (357,0.535375714302063)* (898,0.5277811288833618) (1265,0.5275890231132507) (11,0.5232421159744263) (595,0.5163015723228455) (1028,0.5138400793075562)
38: (597,1.010149598121643) (2671,0.9292912483215332)* (2424,0.8298752903938293) (2724,0.7435523867607117) (1393,0.6912726163864136)* (11,0.6896321773529053) (2125,0.6733582019805908) (2081,0.664402425289154) (1784,0.6517065763473511) (7,0.6307852268218994) (1265,0.6269263029098511) (440,0.6095326542854309) (1680,0.5813577771186829) (1,0.5633049011230469)* (3255,0.5574837923049927) (595,0.5559393167495728) (2485,0.55223149061203) (1641,0.531640887260437) (222,0.528263509273529) (377,0.5274661183357239)*
39: (2706,1.375939130783081) (2997,1.3522250652313232)* (2683,1.301222801208496) (2762,1.1628367900848389) (3578,1.1459301710128784)* (3793,0.9632824659347534)* (2700,0.9403219223022461)* (2694,0.9242857694625854) (3174,0.8758606910705566) (2580,0.8341846466064453)* (2336,0.8131686449050903) (3408,0.8104854226112366) (785,0.8048726320266724) (2987,0.7987675070762634) (3081,0.7742028832435608) (2541,0.7646390199661255) (3176,0.7618769407272339) (2710,0.7267798781394958) (1127,0.7051202058792114)* (2707,0.7021331787109375)
40: (1210,0.7861225008964539) (1196,0.7675150632858276)* (260,0.752366304397583) (1250,0.6905850172042847) (2944,0.6713708639144897)* (3654,0.6594752073287964) (1287,0.6263874769210815)* (1019,0.619566798210144) (3366,0.6163291931152344) (1374,0.5876294374465942) (2662,0.587552547454834)* (3836,0.5749608874320984) (590,0.5640067458152771) (3035,0.5630409717559814) (1356,0.5549591183662415) (940,0.5514142513275146) (1253,0.5491753816604614) (2028,0.5421053171157837) (1233,0.5167515277862549) (1254,0.5159978866577148)*
41: (2762,0.4864595830440521)* (2571,0.4647342562675476) (480,0.4304414987564087) (1198,0.4031617343425751) (356,0.3912092447280884) (3175,0.38897261023521423) (1097,0.382759690284729) (1356,0.3768616318702698) (2396,0.3556510806083679) (1291,0.3538972735404968) (1127,0.35094889998435974) (2355,0.34000977873802185) (780,0.3382849097251892) (3081,0.3374323546886444) (1270,0.33240795135498047) (1580,0.3290419280529022) (919,0.32895171642303467) (1240,0.3215893805027008) (912,0.3187440037727356) (3578,0.31869807839393616)
42: (2916,1.3260576725006104) (1376,1.3158698081970215)* (2571,1.3145453929901123) (780,1.2131497859954834) (1580,1.198960781097412) (1527,1.1191340684890747) (541,1.0925668478012085)* (329,1.0750997066497803)* (2968,1.0273438692092896) (1676,0.9976596236228943) (3471,0.9903869032859802)* (1198,0.9717154502868652)* (2000,0.9205710887908936) (2528,0.9073532819747925) (3699,0.8755451440811157) (1573,0.8750124573707581) (1584,0.8697986602783203)* (1909,0.8633445501327515) (3793,0.8600324392318726)* (2947,0.8548779487609863)
43: (2706,0.9153022766113281)* (2355,0.8391222357749939) (2396,0.8299503326416016)* (2683,0.8229465484619141) (3408,0.7925624251365662) (2716,0.7406264543533325) (2694,0.730025053024292) (2997,0.7150865793228149)* (3578,0.6567915678024292) (2724,0.6405234336853027) (2770,0.6194744110107422) (223,0.6069750785827637) (3623,0.5915974378585815) (2688,0.5818230509757996) (2572,0.5761666297912598) (3005,0.5706118941307068) (2881,0.5605167746543884) (2763,0.5547540187835693) (3176,0.5534577369689941) (2987,0.553168773651123)
44: (260,1.0883300304412842)* (1291,0.9537093639373779)* (1580,0.9332025051116943) (3175,0.9200211763381958) (3114,0.9148606657981873) (2355,0.863286554813385) (588,0.8555529117584229) (1356,0.8424979448318481)* (595,0.8218075037002563) (1376,0.7741245627403259) (2081,0.7734037637710571) (364,0.7635929584503174) (1127,0.7193160653114319)* (3751,0.7162002325057983)* (589,0.7036070823669434)* (2193,0.6928048729896545)* (2161,0.6862435936927795) (2087,0.6851651668548584) (1200,0.6769161820411682) (2078,0.6728907227516174)
45: (1307,0.8486330509185791) (539,0.8184210062026978) (916,0.7785874605178833)* (597,0.7640249729156494) (2396,0.756354033946991) (898,0.7524082064628601) (357,0.7373278737068176)* (1569,0.7180538773536682) (838,0.6764596104621887) (933,0.6347129940986633) (2424,0.626704752445221) (7,0.60137939453125) (899,0.5841535329818726) (1265,0.5789929628372192)* (708,0.5788965821266174)* (3072,0.5764687061309814) (2080,0.5746145248413086) (1269,0.5743657350540161) (2724,0.574062705039978) (1947,0.5697610378265381)
46: (366,1.6393208503723145)* (3409,1.6065536737442017) (2513,1.551283597946167) (1342,1.5351414680480957) (1993,1.4979063272476196) (2315,1.4848002195358276) (2459,1.4574745893478394) (1980,1.4224302768707275)* (70,1.383521318435669) (2279,1.3524467945098877) (1992,1.3261141777038574) (328,1.2941513061523438) (724,1.283755898475647) (3016,1.267566204071045) (1327,1.2637665271759033)* (2995,1.257007122039795) (1983,1.2485828399658203)* (1345,1.227019190788269) (2428,1.2264468669891357) (842,1.1775593757629395)
47: (318,0.8492641448974609)* (593,0.7140710353851318) (608,0.6923195123672485) (2028,0.6314512491226196) (1225,0.6194694638252258) (1221,0.5758407115936279)* (296,0.5742168426513672) (1704,0.5563457012176514) (2858,0.5342669486999512) (912,0.5305099487304688) (1207,0.5249443650245667) (923,0.5151022672653198) (919,0.4808295667171478) (111,0.46372678875923157) (2324,0.46323126554489136) (50,0.44569382071495056) (2396,0.44398561120033264) (1952,0.4400974214076996) (920,0.43637245893478394) (265,0.4182673692703247)
48: (589,1.0922646522521973)* (1610,0.9009113907814026)* (1197,0.8693863153457642) (1200,0.8665290474891663) (2355,0.840208888053894)* (296,0.8294978737831116)* (1097,0.8195814490318298)* (1214,0.8186485171318054) (590,0.8073499202728271) (595,0.8014069199562073) (588,0.7911153435707092) (1136,0.7863588333129883) (750,0.7648349404335022) (1356,0.7573410272598267) (1265,0.756239652633667) (2948,0.7550520896911621) (780,0.7519042491912842)* (733,0.7518699169158936) (1374,0.7500089406967163) (904,0.7448186874389648)
49: (2571,0.8029972314834595) (457,0.7682213187217712)* (1610,0.6879285573959351) (1240,0.6713670492172241) (2916,0.6627793312072754)* (1221,0.6269399523735046) (1200,0.6194658279418945)* (110,0.6191057562828064) (1573,0.5980533957481384) (1198,0.5917388200759888) (1,0.5759950280189514)* (1580,0.5577163696289062) (260,0.5573017001152039) (2761,0.5558944940567017)* (3256,0.5503202676773071) (1214,0.5383308529853821) (2762,0.5286742448806763) (3578,0.5157326459884644) (1127,0.5122256875038147) (1527,0.510277509689331)
50: (3753,0.7173061966896057) (3510,0.6362623572349548) (3555,0.6185382008552551) (3408,0.6166220307350159) (3578,0.5989530086517334) (3916,0.49665576219558716) (3624,0.4817744493484497) (3512,0.47175973653793335) (1035,0.4664051830768585) (3513,0.4645766615867615) (3534,0.45635855197906494) (3173,0.45529621839523315) (3409,0.4468560814857483) (3481,0.4418010115623474) (3897,0.4368000626564026) (2858,0.4020851254463196)* (3160,0.4014284014701843) (3755,0.387003093957901) (3623,0.3861128091812134) (110,0.3779495358467102)
51: (3114,0.8824301958084106)* (2858,0.8643460869789124) (3753,0.847865641117096) (3578,0.8362523913383484) (2706,0.8306876420974731) (3408,0.8174992799758911) (3751,0.804711639881134) (3510,0.7555720806121826) (2355,0.7530946731567383) (3624,0.752802848815918) (3948,0.729407012462616) (356,0.6976845860481262) (2683,0.6848205327987671) (2997,0.6750732660293579) (3481,0.6726943254470825) (2572,0.6724964380264282) (3555,0.6463518142700195) (223,0.6404283046722412) (3755,0.6314412355422974) (3623,0.6227630376815796)
52: (457,1.1779744625091553)* (2571,1.1678580045700073) (733,1.105400562286377)* (3753,1.0393426418304443) (480,1.0333627462387085) (1370,1.0074197053909302) (3578,0.9990348219871521) (3256,0.9778984785079956) (377,0.9371110796928406) (1580,0.9220178127288818) (648,0.8931691646575928) (1036,0.8564543724060059) (2058,0.8438311815261841) (3555,0.8400653600692749) (1527,0.7986383438110352) (1917,0.7979280948638916) (2490,0.7877686619758606) (10,0.7542279958724976) (3623,0.7127378582954407) (2628,0.7043756246566772)
53: (253,0.564876914024353) (1093,0.5455371141433716) (1339,0.5253575444221497)* (2105,0.5135500431060791)* (1909,0.5047194957733154) (293,0.4594106078147888)* (968,0.4556029140949249)* (2600,0.4441950023174286) (2161,0.4391306936740875)* (1645,0.4391188621520996) (47,0.4333922863006592)* (778,0.4175555408000946) (3081,0.4162213206291199) (1097,0.40945345163345337) (1350,0.40723517537117004)* (1676,0.40695837140083313) (3917,0.4055708050727844)* (2139,0.402668833732605) (2734,0.39868825674057007) (1200,0.394707053899765)*
